Number,Movie,IMDB-link,Bechdel-Rating,Release-Year,Directors,Writers
49,Can You Ever Forgive Me?  ,http://us.imdb.com/title/tt4595882/,3,2018,['Marielle Heller'],"['Nicole Holofcener', 'Jeff Whitty']"
50,Carmen y Lola ,http://us.imdb.com/title/tt7485508/,3,2018,['Arantxa Echevarría'],['Arantxa Echevarría']
51,Christopher Robin  ,http://us.imdb.com/title/tt4575576/,2,2018,['Marc Forster'],"['A.A. Milne', 'Ernest Shepard']"
52,The Cloverfield Paradox  ,http://us.imdb.com/title/tt2548396/,3,2018,['Julius Onah'],"['Oren Uziel', 'Oren Uziel']"
53,Cold War  ,http://us.imdb.com/title/tt6543652/,3,2018,['Pawel Pawlikowski'],"['Pawel Pawlikowski', 'Pawel Pawlikowski']"
54,Colette ,http://us.imdb.com/title/tt5437928/,3,2018,['Wash Westmoreland'],"['Richard Glatzer', 'Wash Westmoreland']"
55,Crazy Rich Asians  ,http://us.imdb.com/title/tt3104988/,3,2018,['Jon M. Chu'],"['Peter Chiarelli', 'Adele Lim']"
56,Creed II  ,http://us.imdb.com/title/tt6343314/,3,2018,['Steven Caple Jr.'],"['Cheo Hodari Coker', 'Ryan Coogler']"
57,The Darkest Minds  ,http://us.imdb.com/title/tt4073790/,3,2018,['Jennifer Yuh Nelson'],"['Chad Hodge', 'Alexandra Bracken']"
58,Dead in a Week: Or Your Money Back  ,http://us.imdb.com/title/tt3525168/,1,2018,['Tom Edmunds'],['Tom Edmunds']
59,Deadpool 2  ,http://us.imdb.com/title/tt5463162/,2,2018,['David Leitch'],"['Rhett Reese', 'Paul Wernick']"
60,Dog Days  ,http://us.imdb.com/title/tt7365604/,3,2018,['Ken Marino'],"['Elissa Matsueda', 'Erica Oyama']"
61,Don't Leave Home  ,http://us.imdb.com/title/tt6842126/,3,2018,['Michael Tully'],['Michael Tully']
62,Dude  ,http://us.imdb.com/title/tt3458510/,3,2018,['Olivia Milch'],"['Olivia Milch', 'Olivia Milch']"
63,Dumplin'  ,http://us.imdb.com/title/tt4878482/,3,2018,['Anne Fletcher'],"['Kristin Hahn', 'Julie Murphy']"
64,Early Man  ,http://us.imdb.com/title/tt4701724/,1,2018,['Nick Park'],"['Mark Burton', 'James Higginson']"
65,Eighth Grade  ,http://us.imdb.com/title/tt7014006/,3,2018,['Bo Burnham'],['Bo Burnham']
66,En guerre  ,http://us.imdb.com/title/tt7555774/,1,2018,['Stéphane Brizé'],"['Ralph Blindauer', 'Stéphane Brizé']"
67,En liberte!  ,http://us.imdb.com/title/tt7534068/,2,2018,['Pierre Salvadori'],"['Benjamin Charbit', 'Benoît Graffin']"
68,Fantastic Beasts: The Crimes of Grindelwald  ,http://us.imdb.com/title/tt4123430/,2,2018,['David Yates'],"['J.K. Rowling', 'J.K. Rowling']"
69,The Favourite  ,http://us.imdb.com/title/tt5083738/,3,2018,['Yorgos Lanthimos'],"['Deborah Davis', 'Tony McNamara']"
70,First Man  ,http://us.imdb.com/title/tt1213641/,3,2018,['Damien Chazelle'],"['Josh Singer', 'James R. Hansen']"
71,First Match  ,http://us.imdb.com/title/tt6061074/,3,2018,['Olivia Newman'],['Olivia Newman']
72,The First Purge   ,http://us.imdb.com/title/tt6133466/,3,2018,['Gerard McMurray'],['James DeMonaco']
73,Free Solo  ,http://us.imdb.com/title/tt7775622/,1,2018,"['Jimmy Chin', 'Elizabeth Chai Vasarhelyi']","['Alex Honnold', 'Tommy Caldwell', 'Jimmy Chin']"
74,Game Night  ,http://us.imdb.com/title/tt2704998/,3,2018,"['John Francis Daley', 'Jonathan Goldstein']",['Mark Perez']
75,The Girl in the Spider's Web  ,http://us.imdb.com/title/tt5177088/,3,2018,['Fede Alvarez'],"['David Lagercrantz', 'Stieg Larsson']"
76,Green Book  ,http://us.imdb.com/title/tt6966692/,1,2018,['Peter Farrelly'],"['Nick Vallelonga', 'Brian Hayes Currie']"
77,Greta  ,http://us.imdb.com/title/tt2639336/,3,2018,['Neil Jordan'],"['Ray Wright', 'Neil Jordan']"
78,The Guernsey Literary and Potato Peel Pie Society  ,http://us.imdb.com/title/tt1289403/,3,2018,['Mike Newell'],"['Don Roos', 'Kevin Hood']"
79,Halloween  ,http://us.imdb.com/title/tt1502407/,3,2018,['David Gordon Green'],"['John Carpenter', 'Debra Hill']"
80,The Hate U Give  ,http://us.imdb.com/title/tt5580266/,3,2018,['George Tillman Jr.'],"['Audrey Wells', 'Angie Thomas']"
81,Hearts Beat Loud  ,http://us.imdb.com/title/tt7158430/,3,2018,['Brett Haley'],"['Brett Haley', 'Marc Basch']"
82,The Heiresses  ,http://us.imdb.com/title/tt7875464/,3,2018,['Marcelo Martinessi'],['Marcelo Martinessi']
83,Hereditary  ,http://us.imdb.com/title/tt7784604/,3,2018,['Ari Aster'],['Ari Aster']
84,Hold the Dark  ,http://us.imdb.com/title/tt5057140/,1,2018,['Jeremy Saulnier'],"['Macon Blair', 'William Giraldi']"
85,The House with a Clock in Its Walls  ,http://us.imdb.com/title/tt2119543/,1,2018,['Eli Roth'],"['Eric Kripke', 'John Bellairs']"
86,I Feel Pretty ,http://us.imdb.com/title/tt6791096/,3,2018,"['Abby Kohn', 'Marc Silverstein']","['Abby Kohn', 'Marc Silverstein']"
87,If Beale Street Could Talk ,http://us.imdb.com/title/tt7125860/,3,2018,['Barry Jenkins'],"['Barry Jenkins', 'James Baldwin']"
88,Incredibles 2  ,http://us.imdb.com/title/tt3606756/,3,2018,['Brad Bird'],['Brad Bird']
89,Instant Family  ,http://us.imdb.com/title/tt7401588/,3,2018,['Sean Anders'],"['Sean Anders', 'John Morris']"
90,Isle of Dogs  ,http://us.imdb.com/title/tt5104604/,3,2018,['Wes Anderson'],"['Wes Anderson', 'Roman Coppola']"
91,Jefe ,http://us.imdb.com/title/tt7527538/,2,2018,['Sergio Barrejón'],"['Natxo López', 'Marta Piedade']"
92,Johnny English Strikes Again  ,http://us.imdb.com/title/tt6921996/,1,2018,['David Kerr'],['William Davies']
93,Jurassic World: Fallen Kingdom  ,http://us.imdb.com/title/tt4881806/,3,2018,['J.A. Bayona'],"['Derek Connolly', 'Colin Trevorrow']"
94,Kaala  ,http://us.imdb.com/title/tt6929642/,3,2018,['Pa. Ranjith'],"['Shivgopal Krishna', 'Maginan']"
95,The Kissing Booth  ,http://us.imdb.com/title/tt3799232/,3,2018,['Vince Marcello'],"['Vince Marcello', 'Beth Reekles']"
96,L'animale ,http://us.imdb.com/title/tt6169920/,3,2018,['Katharina Mückstein'],['Katharina Mückstein']
97,La chute de l'empire americain  ,http://us.imdb.com/title/tt7231342/,1,2018,['Denys Arcand'],['Denys Arcand']
98,Le monde est a toi ,http://us.imdb.com/title/tt6892462/,2,2018,['Romain Gavras'],"['Karim Boukercha', 'Karim Boukercha']"
99,Leave No Trace  ,http://us.imdb.com/title/tt3892172/,3,2018,['Debra Granik'],"['Debra Granik', 'Anne Rosellini']"
100,Life of the Party  ,http://us.imdb.com/title/tt5619332/,3,2018,['Ben Falcone'],"['Melissa McCarthy', 'Ben Falcone']"
101,Love per square foot  ,http://us.imdb.com/title/tt7853242/,3,2018,['Anand Tiwari'],"['Asif Ali Beg', 'Anand Tiwari']"
102,"Love, Simon  ",http://us.imdb.com/title/tt5164432/,1,2018,['Greg Berlanti'],"['Elizabeth Berger', 'Isaac Aptaker']"
103,Mamma Mia! Here We Go Again  ,http://us.imdb.com/title/tt6911608/,3,2018,['Ol Parker'],"['Ol Parker', 'Richard Curtis']"
104,The Man Who Killed Don Quixote  ,http://us.imdb.com/title/tt1318517/,1,2018,['Terry Gilliam'],"['Terry Gilliam', 'Tony Grisoni']"
105,Mandy  ,http://us.imdb.com/title/tt6998518/,2,2018,['Panos Cosmatos'],"['Panos Cosmatos', 'Aaron Stewart-Ahn']"
106,Mary Poppins Returns  ,http://us.imdb.com/title/tt5028340/,3,2018,['Rob Marshall'],"['P.L. Travers', 'David Magee']"
107,Mary Queen of Scots  ,http://us.imdb.com/title/tt2328900/,3,2018,['Josie Rourke'],"['Beau Willimon', 'John Guy']"
108,Maze Runner: The Death Cure  ,http://us.imdb.com/title/tt4500922/,3,2018,['Wes Ball'],"['T.S. Nowlin', 'James Dashner']"
109,The Meg  ,http://us.imdb.com/title/tt4779682/,3,2018,['Jon Turteltaub'],"['Dean Georgaris', 'Jon Hoeber']"
110,Mid90s  ,http://us.imdb.com/title/tt5613484/,1,2018,['Jonah Hill'],['Jonah Hill']
111,The Miracle Season  ,http://us.imdb.com/title/tt5427194/,3,2018,['Sean McNamara'],"['David Aaron Cohen', 'Elissa Matsueda']"
112,The Miseducation of Cameron Post ,http://us.imdb.com/title/tt6257174/,3,2018,['Desiree Akhavan'],"['Desiree Akhavan', 'Cecilia Frugiuele']"
113,Mission Impossible: Fallout  ,http://us.imdb.com/title/tt4912910/,1,2018,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie']"
114,Mortal Engines  ,http://us.imdb.com/title/tt1571234/,3,2018,['Christian Rivers'],"['Fran Walsh', 'Philippa Boyens']"
115,The Mule  ,http://us.imdb.com/title/tt7959026/,2,2018,['Clint Eastwood'],"['Sam Dolnick', 'Nick Schenk']"
116,My hero academia: Two heroes  ,http://us.imdb.com/title/tt7745068/,3,2018,['Kenji Nagasaki'],"['Kôhei Horikoshi', 'Yôsuke Kuroda']"
117,My Little Pony Equestria Girls: Forgotten Friendship  ,http://us.imdb.com/title/tt7869818/,3,2018,"['Ishi Rudell', 'Katrina Hadley']",['Nick Confalone']
118,Nappily Ever Aftet  ,http://us.imdb.com/title/tt0365545/,3,2018,['Haifaa Al-Mansour'],"['Adam Brooks', 'Cee Marcellus']"
119,The Nutcracker and the Four Realms  ,http://us.imdb.com/title/tt5523010/,3,2018,"['Lasse Hallström', 'Joe Johnston']","['Ashleigh Powell', 'Ashleigh Powell']"
120,Ocean's 8  ,http://us.imdb.com/title/tt5164214/,3,2018,['Gary Ross'],"['Gary Ross', 'Olivia Milch']"
121,The Old Man & the Gun  ,http://us.imdb.com/title/tt2837574/,1,2018,['David Lowery'],"['David Lowery', 'David Grann']"
122,On the Basis of Sex  ,http://us.imdb.com/title/tt4669788/,3,2018,['Mimi Leder'],['Daniel Stiepleman']
123,Overboard  ,http://us.imdb.com/title/tt1563742/,3,2018,['Rob Greenberg'],"['Bob Fisher', 'Rob Greenberg']"
124,Pacific Rim: Uprising  ,http://us.imdb.com/title/tt2557478/,3,2018,['Steven S. DeKnight'],"['Steven S. DeKnight', 'Emily Carmichael']"
125,Pass Over  ,http://us.imdb.com/title/tt7768846/,0,2018,"['Spike Lee', 'Danya Taymor']",['Antoinette Nwandu']
126,Patient Zero  ,http://us.imdb.com/title/tt3458254/,1,2018,['Stefan Ruzowitzky'],['Mike Le']
127,Please Stand By ,http://us.imdb.com/title/tt4652650/,3,2017,['Ben Lewin'],"['Michael Golamco', 'Michael Golamco']"
128,The Predator  ,http://us.imdb.com/title/tt3829266/,1,2018,['Shane Black'],"['Fred Dekker', 'Shane Black']"
129,Quien te cantara  ,http://us.imdb.com/title/tt6485304/,2,2018,['Carlos Vermut'],['Carlos Vermut']
130,Rafiki  ,http://us.imdb.com/title/tt8286894/,3,2018,['Wanuri Kahiu'],"['Wanuri Kahiu', 'Jenna Cato Bass']"
131,Ralph Breaks the Internet  ,http://us.imdb.com/title/tt5848272/,3,2018,"['Phil Johnston', 'Rich Moore']","['Phil Johnston', 'Pamela Ribon']"
132,Rampage  ,http://us.imdb.com/title/tt2231461/,3,2018,['Brad Peyton'],"['Ryan Engle', 'Carlton Cuse']"
133,Ready Player One  ,http://us.imdb.com/title/tt1677720/,3,2018,['Steven Spielberg'],"['Zak Penn', 'Ernest Cline']"
134,Red Sparrow  ,http://us.imdb.com/title/tt2873282/,3,2018,['Francis Lawrence'],"['Justin Haythe', 'Jason Matthews']"
135,Robin Hood  ,http://us.imdb.com/title/tt4532826/,1,2018,['Otto Bathurst'],"['Ben Chandler', 'David James Kelly']"
136,Roma  ,http://us.imdb.com/title/tt6155172/,3,2018,['Alfonso Cuarón'],['Alfonso Cuarón']
137,Searching  ,http://us.imdb.com/title/tt7668870/,1,2018,['Aneesh Chaganty'],"['Aneesh Chaganty', 'Sev Ohanian']"
138,Set It Up  ,http://us.imdb.com/title/tt5304992/,3,2018,['Claire Scanlon'],['Katie Silberman']
139,Sheherazade  ,http://us.imdb.com/title/tt8459250/,3,2018,['Jean-Bernard Marlin'],"['Jean-Bernard Marlin', 'Catherine Paillé']"
140,Shoplifters  ,http://us.imdb.com/title/tt8075192/,3,2018,['Hirokazu Koreeda'],"['Hirokazu Koreeda', 'Hirokazu Koreeda']"
141,Sierra Burgess Is a Loser  ,http://us.imdb.com/title/tt3120280/,3,2018,['Ian Samuels'],['Lindsey Beer']
142,The Sisters Brothers  ,http://us.imdb.com/title/tt4971344/,1,2018,['Jacques Audiard'],"['Jacques Audiard', 'Thomas Bidegain']"
143,Skate Kitchen  ,http://us.imdb.com/title/tt7545566/,3,2018,['Crystal Moselle'],"['Crystal Moselle', 'Crystal Moselle']"
144,Slender Man  ,http://us.imdb.com/title/tt5690360/,3,2018,['Sylvain White'],"['David Birke', 'Victor Surge']"
145,Smallfoot  ,http://us.imdb.com/title/tt6182908/,3,2018,"['Karey Kirkpatrick', 'Jason Reisig']","['Karey Kirkpatrick', 'Clare Sera']"
146,Solo: A Star Wars Story  ,http://us.imdb.com/title/tt3778644/,2,2018,['Ron Howard'],"['Jonathan Kasdan', 'Lawrence Kasdan']"
147,Sorry to Bother You  ,http://us.imdb.com/title/tt5688932/,1,2018,['Boots Riley'],['Boots Riley']
148,Spider-Man : Into the Spider-Verse  ,http://us.imdb.com/title/tt4633694/,1,2018,"['Bob Persichetti', 'Peter Ramsey', '1 more credit']","['Phil Lord', 'Rodney Rothman']"
149,The Spy Who Dumped Me  ,http://us.imdb.com/title/tt6663582/,3,2018,['Susanna Fogel'],"['Susanna Fogel', 'David Iserson']"
150,Stan & Ollie  ,http://us.imdb.com/title/tt3385524/,3,2018,['Jon S. Baird'],"['Jeff Pope', ""'A.J.' Marriot""]"
151,Suspiria  ,http://us.imdb.com/title/tt1034415/,3,2018,['Luca Guadagnino'],"['Dario Argento', 'Daria Nicolodi']"
152,Tag  ,http://us.imdb.com/title/tt2854926/,3,2018,['Jeff Tomsic'],"['Rob McKittrick', 'Mark Steilen']"
153,Teen Titans Go! To the Movies  ,http://us.imdb.com/title/tt7424200/,3,2018,"['Aaron Horvath', 'Peter Rida Michail']","['Michael Jelenic', 'Aaron Horvath']"
154,The Titan  ,http://us.imdb.com/title/tt4986098/,2,2018,['Lennart Ruff'],"['Max Hurwitz', 'Arash Amel']"
155,To All the Boys I've Loved Before  ,http://us.imdb.com/title/tt3846674/,3,2018,['Susan Johnson'],"['Sofia Alvarez', 'Jenny Han']"
156,Tomb Raider  ,http://us.imdb.com/title/tt1365519/,3,2018,['Roar Uthaug'],"['Geneva Robertson-Dworet', 'Alastair Siddons']"
