movie_name,movie_yr,movie_directors,movie_writers
Gran Torino,2008,['Clint Eastwood'],"['Nick Schenk', 'Dave Johannson']"
Grizzly Park,2008,['Tom Skull'],['Tom Skull']
Hamlet 2,2008,['Andrew Fleming'],"['Pam Brady', 'Andrew Fleming']"
Hancock,2008,['Peter Berg'],"['Vincent Ngo', 'Vince Gilligan']"
Happy-Go-Lucky,2008,['Mike Leigh'],['Mike Leigh']
Helen,2008,"['Joe Lawlor', 'Christine Molloy']","['Joe Lawlor', 'Christine Molloy']"
Hellboy II: The Golden Army,2008,['Guillermo del Toro'],"['Guillermo del Toro', 'Guillermo del Toro']"
Herb & Dorothy,2008,['Megumi Sasaki'],['Abbey Dubin']
High School Musical 3: Senior Year,2008,['Kenny Ortega'],"['Peter Barsocchini', 'Peter Barsocchini']"
Horton Hears a Who!,2008,"['Jimmy Hayward', 'Steve Martino']","['Cinco Paul', 'Ken Daurio']"
The House Bunny,2008,['Fred Wolf'],"['Karen McCullah', 'Kirsten Smith']"
Hunger,2008,['Steve McQueen'],"['Enda Walsh', 'Steve McQueen']"
The Hurt Locker,2008,['Kathryn Bigelow'],['Mark Boal']
I Can't Think Straight,2008,['Shamim Sarif'],"['Shamim Sarif', 'Kelly Moss']"
I Sell the Dead,2008,['Glenn McQuaid'],"['Glenn McQuaid', 'Keti Stamo']"
Il y a longtemps que je t'aime,2008,['Philippe Claudel'],['Philippe Claudel']
Igor,2008,['Tony Leondis'],"['Chris McKenna', 'Tony Leondis']"
In Bruges,2008,['Martin McDonagh'],['Martin McDonagh']
The Incredible Hulk,2008,['Louis Leterrier'],"['Zak Penn', 'Zak Penn']"
Indiana Jones and the Kingdom of the Crystal Skull,2008,['Steven Spielberg'],"['David Koepp', 'George Lucas']"
Inkheart,2008,['Iain Softley'],"['David Lindsay-Abaire', 'Cornelia Funke']"
Iron Man,2008,['Jon Favreau'],"['Mark Fergus', 'Hawk Ostby']"
Journey to the Center of the Earth,2008,['Eric Brevig'],"['Michael D. Weiss', 'Jennifer Flackett']"
Jumper,2008,['Doug Liman'],"['David S. Goyer', 'Jim Uhls']"
The Machine Girl,2008,['Noboru Iguchi'],['Noboru Iguchi']
Keith,2008,['Todd Kessler'],"['David Zabel', 'Todd Kessler']"
Kenna,2008,['Cesar Quijada'],"['Mike Knowlan', 'Cesar Quijada']"
Killshot,2008,['John Madden'],"['Hossein Amini', 'Elmore Leonard']"
Kung Fu Panda,2008,"['Mark Osborne', 'John Stevenson']","['Jonathan Aibel', 'Glenn Berger']"
Let the Right One In,2008,['Tomas Alfredson'],"['John Ajvide Lindqvist', 'John Ajvide Lindqvist']"
The Beautiful Person,2008,['Christophe Honoré'],"['Christophe Honoré', 'Gilles Taurand']"
La mujer sin cabeza,2008,['Lucrecia Martel'],['Lucrecia Martel']
Last Chance Harvey,2008,['Joel Hopkins'],['Joel Hopkins']
Leonera,2008,['Pablo Trapero'],"['Alejandro Fadel', 'Martín Mauregui']"
Le silence de Lorna,2008,"['Jean-Pierre Dardenne', 'Luc Dardenne']","['Jean-Pierre Dardenne', 'Luc Dardenne']"
The Loss of a Teardrop Diamond,2008,['Jodie Markell'],['Tennessee Williams']
The Love Guru,2008,['Marco Schnabel'],"['Mike Myers', 'Graham Gordy']"
The Lucky Ones,2008,['Neil Burger'],"['Neil Burger', 'Dirk Wittenborn']"
Mad Money,2008,['Callie Khouri'],"['Glenn Gers', 'John Mister']"
Made of Honor,2008,['Paul Weiland'],"['Adam Sztykiel', 'Deborah Kaplan']"
Mamma Mia!,2008,['Phyllida Lloyd'],"['Catherine Johnson', 'Catherine Johnson']"
Management,2008,['Stephen Belber'],['Stephen Belber']
Mannen som elsket Yngve,2008,['Stian Kristiansen'],"['Tore Renberg', 'Tore Renberg']"
Marley & Me,2008,['David Frankel'],"['Scott Frank', 'Don Roos']"
Martyrs,2008,['Pascal Laugier'],['Pascal Laugier']
Max Payne,2008,['John Moore'],"['Beau Thorne', 'Sam Lake']"
Meet Dave,2008,['Brian Robbins'],"['Rob Greenberg', 'Bill Corbett']"
Merlin     ,None,"['Johnny Capps', 'Julian Jones', 'Jake Michie', '1 more credit']","['John Hurt', 'Colin Morgan', 'Bradley James']"
Mesrine Part 1: Killer Instinct,2008,['Jean-François Richet'],"['Jacques Mesrine', 'Abdel Raouf Dafri']"
Miao Miao,2008,['Hsiao-tse Cheng'],"['Hsiao-tse Cheng', 'Yi-Fen Tsai']"
Mid-August Lunch,2008,['Gianni Di Gregorio'],"['Gianni Di Gregorio', 'Simone Riccardini']"
Milk,2008,['Gus Van Sant'],['Dustin Lance Black']
Miracle at St. Anna,2008,['Spike Lee'],"['James McBride', 'James McBride']"
Mirrors,2008,['Alexandre Aja'],"['Alexandre Aja', 'Grégory Levasseur']"
Miss Pettigrew Lives for a Day,2008,['Bharat Nalluri'],"['David Magee', 'Simon Beaufoy']"
The Mummy: Tomb of the Dragon Emperor,2008,['Rob Cohen'],"['Alfred Gough', 'Miles Millar']"
Mutant Chronicles,2008,['Simon Hunter'],['Philip Eisner']
Hayat Var,2008,['Reha Erdem'],['Reha Erdem']
El patio de mi cárcel,2008,['Belén Macías'],"['Arantxa Cuesta', 'Elena Cánovas']"
Nick and Norah's Infinite Playlist,2008,['Peter Sollett'],"['Lorene Scafaria', 'Rachel Cohn']"
