movie_name,movie_yr,movie_directors,movie_writers
Pillow Talk,1959,['Michael Gordon'],"['Stanley Shapiro', 'Maurice Richlin']"
Rio Bravo,1959,['Howard Hawks'],"['Jules Furthman', 'Leigh Brackett']"
Sleeping Beauty,1959,['Clyde Geronimi'],"['Erdman Penner', 'Charles Perrault']"
Some Like It Hot,1959,['Billy Wilder'],"['Billy Wilder', 'I.A.L. Diamond']"
"Suddenly, Last Summer",1959,['Joseph L. Mankiewicz'],"['Tennessee Williams', 'Gore Vidal']"
The Tingler,1959,['William Castle'],['Robb White']
The Wasp Woman,1959,"['Roger Corman', 'Jack Hill']","['Leo Gordon', 'Kinta Zertuche']"
"The World, The Flesh and The Devil",1959,['Ranald MacDougall'],"['M.P. Shiel', 'Ferdinand Reyher']"
Auntie Mame,1958,['Morton DaCosta'],"['Betty Comden', 'Adolph Green']"
Blood of the Vampire,1958,['Henry Cass'],"['Jimmy Sangster', 'Jimmy Sangster']"
Brink of Life,1958,['Ingmar Bergman'],['Ulla Isaksson']
Cat on a Hot Tin Roof,1958,['Richard Brooks'],"['Richard Brooks', 'James Poe']"
La morte viene dallo spazio,1958,"['Paolo Heusch', 'Mario Bava']","['Virgilio Sabel', 'Marcello Coscia']"
The Defiant Ones,1958,['Stanley Kramer'],"['Nedrick Young', 'Harold Jacob Smith']"
Horror of Dracula,1958,['Terence Fisher'],"['Jimmy Sangster', 'Bram Stoker']"
Vynález zkázy,1958,['Karel Zeman'],"['Frantisek Hrubín', 'Jules Verne']"
The Fly,1958,['Kurt Neumann'],"['James Clavell', 'George Langelaan']"
Gigi,1958,['Vincente Minnelli'],"['Alan Jay Lerner', 'Colette']"
The Hidden Fortress,1958,['Akira Kurosawa'],"['Ryûzô Kikushima', 'Hideo Oguni']"
I Bury the Living,1958,['Albert Band'],"['Louis Garfinkle', 'Louis Garfinkle']"
I Want to Live!,1958,['Robert Wise'],"['Nelson Gidding', 'Don Mankiewicz']"
Indiscreet,1958,['Stanley Donen'],"['Norman Krasna', 'Norman Krasna']"
The Inn of the Sixth Happiness,1958,['Mark Robson'],"['Isobel Lennart', 'Alan Burgess']"
It! The Terror from Beyond Space,1958,['Edward L. Cahn'],['Jerome Bixby']
Love Is My Profession,1958,['Claude Autant-Lara'],"['Jean Aurenche', 'Pierre Bost']"
Mädchen in Uniform,1958,['Géza von Radványi'],"['Christa Winsloe', 'Friedrich Dammann']"
Mon Oncle,1958,['Jacques Tati'],"['Jacques Lagrange', ""Jean L'Hôte""]"
Run Silent Run Deep,1958,['Robert Wise'],"['John Gay', 'Edward L. Beach']"
The Screaming Skull,1958,['Alex Nicol'],['John Kneubuhl']
Separate Tables,1958,['Delbert Mann'],"['Terence Rattigan', 'John Gay']"
South Pacific,1958,['Joshua Logan'],"['Paul Osborn', 'Richard Rodgers']"
Teacher's Pet,1958,['George Seaton'],"['Fay Kanin', 'Michael Kanin']"
Touch of Evil,1958,['Orson Welles'],"['Orson Welles', 'Whit Masterson']"
Vertigo,1958,['Alfred Hitchcock'],"['Alec Coppel', 'Samuel A. Taylor']"
The Vikings,1958,['Richard Fleischer'],"['Calder Willingham', 'Dale Wasserman']"
The Wild Women of Wongo,1958,['James L. Wolcott'],['Cedric Rutherford']
12 Angry Men,1957,['Sidney Lumet'],"['Reginald Rose', 'Reginald Rose']"
A Face in the Crowd,1957,['Elia Kazan'],"['Budd Schulberg', 'Budd Schulberg']"
Amanecer en Puerta Oscura,1957,['José María Forqué'],"['José María Forqué', 'Alfonso Sastre']"
An Affair to Remember,1957,['Leo McCarey'],"['Delmer Daves', 'Leo McCarey']"
The Bridge on the River Kwai,1957,['David Lean'],"['Pierre Boulle', 'Carl Foreman']"
The Cranes Are Flying,1957,['Mikhail Kalatozov'],"['Viktor Rozov', 'Viktor Rozov']"
Desk Set,1957,['Walter Lang'],"['Phoebe Ephron', 'Henry Ephron']"
El vampiro,1957,['Fernando Méndez'],"['Ramón Obón', 'Ramón Obón']"
The Enemy Below,1957,['Dick Powell'],"['Wendell Mayes', 'D.A. Rayner']"
Fire Down Below,1957,['Robert Parrish'],"['Irwin Shaw', 'Max Catto']"
Forty Guns,1957,['Samuel Fuller'],['Samuel Fuller']
Funny Face,1957,['Stanley Donen'],['Leonard Gershe']
"Heaven Knows, Mr. Allison",1957,['John Huston'],"['John Lee Mahin', 'John Huston']"
The Incredible Shrinking Man,1957,['Jack Arnold'],"['Richard Matheson', 'Richard Matheson']"
Kanal,1957,['Andrzej Wajda'],"['Jerzy Stefan Stawinski', 'Jerzy Stefan Stawinski']"
Kiss Them for Me,1957,['Stanley Donen'],"['Julius J. Epstein', 'Luther Davis']"
The Mysterians,1957,['Ishirô Honda'],"['Takeshi Kimura', 'Jôjirô Okami']"
Curse of the Demon,1957,['Jacques Tourneur'],"['Charles Bennett', 'Hal E. Chester']"
The Nights of Cabiria,1957,['Federico Fellini'],"['Federico Fellini', 'Ennio Flaiano']"
Oedipus Rex,1957,"['Tyrone Guthrie', 'Abraham Polonsky']","['Sophocles', 'E.F. Watling']"
Old Yeller,1957,['Robert Stevenson'],"['Fred Gipson', 'William Tunberg']"
Paths of Glory,1957,['Stanley Kubrick'],"['Stanley Kubrick', 'Calder Willingham']"
The Prince and the Showgirl,1957,['Laurence Olivier'],"['Terence Rattigan', 'Terence Rattigan']"
Sayonara,1957,['Joshua Logan'],"['Paul Osborn', 'James A. Michener']"
The Seventh Seal,1957,['Ingmar Bergman'],"['Ingmar Bergman', 'Ingmar Bergman']"
Wild Strawberries,1957,['Ingmar Bergman'],['Ingmar Bergman']
Sorority Girl,1957,['Roger Corman'],"['Leo Lieberman', 'Ed Waters']"
Sweet Smell of Success,1957,['Alexander Mackendrick'],"['Clifford Odets', 'Ernest Lehman']"
Tammy and the Bachelor,1957,['Joseph Pevney'],"['Oscar Brodney', 'Cid Ricketts Sumner']"
The Three Faces of Eve,1957,['Nunnally Johnson'],"['Nunnally Johnson', 'Corbett Thigpen']"
Throne of Blood,1957,['Akira Kurosawa'],"['Hideo Oguni', 'Shinobu Hashimoto']"
The True Story of Jesse James,1957,['Nicholas Ray'],"['Walter Newman', 'Nunnally Johnson']"
Witness for the Prosecution,1957,['Billy Wilder'],"['Agatha Christie', 'Billy Wilder']"
...And God Created Woman,1956,['Roger Vadim'],"['Roger Vadim', 'Raoul Lévy']"
Aparajito,1956,['Satyajit Ray'],"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']"
Around the World in 80 Days,1956,"['Michael Anderson', 'John Farrow']","['James Poe', 'John Farrow']"
The Bad Seed,1956,['Mervyn LeRoy'],"['John Lee Mahin', 'Maxwell Anderson']"
Bigger Than Life,1956,['Nicholas Ray'],"['Cyril Hume', 'Richard Maibaum']"
Bus Stop,1956,['Joshua Logan'],"['George Axelrod', 'William Inge']"
Main Street,1956,['Juan Antonio Bardem'],"['Carlos Arniches', 'Juan Antonio Bardem']"
The Court Jester,1955,"['Melvin Frank', 'Norman Panama']","['Norman Panama', 'Melvin Frank']"
Eyewitness,1956,['Muriel Box'],"['Janet Green', 'Janet Green']"
Nagareru,1956,['Mikio Naruse'],"['Toshirô Ide', 'Aya Kôda']"
Forbidden Planet,1956,['Fred M. Wilcox'],"['Cyril Hume', 'Irving Block']"
Gunslinger,1956,['Roger Corman'],"['Charles B. Griffith', 'Mark Hanna']"
High Society,1956,['Charles Walters'],"['John Patrick', 'Philip Barry']"
Indestructible Man,1956,['Jack Pollexfen'],"['Vy Russell', 'Sue Dwiggins']"
Invasion of the Body Snatchers,1956,['Don Siegel'],"['Daniel Mainwaring', 'Jack Finney']"
The Iron Petticoat,1956,['Ralph Thomas'],['Ben Hecht']
The Killing,1956,['Stanley Kubrick'],"['Stanley Kubrick', 'Jim Thompson']"
The King and I,1956,['Walter Lang'],"['Ernest Lehman', 'Oscar Hammerstein II']"
The Man Who Knew Too Much,1956,['Alfred Hitchcock'],"['John Michael Hayes', 'Charles Bennett']"
The Man Who Never Was,1956,['Ronald Neame'],"['Ewen Montagu', 'Nigel Balchin']"
The Proud and Profane,1956,['George Seaton'],"['Lucy Herndon Crockett', 'George Seaton']"
Rodan,1956,['Ishirô Honda'],"['David Duncan', 'Takeshi Kimura']"
Saboteur,1942,['Alfred Hitchcock'],"['Peter Viertel', 'Joan Harrison']"
The Searchers,1956,['John Ford'],"['Frank S. Nugent', 'Alan Le May']"
The Spanish Gardener,1956,['Philip Leacock'],"['John Bryan', 'A.J. Cronin']"
The Ten Commandments,1956,['Cecil B. DeMille'],"['Dorothy Clarke Wilson', 'J.H. Ingraham']"
A Man Escaped,1956,['Robert Bresson'],"['André Devigny', 'Robert Bresson']"
The Unguarded Moment,1956,['Harry Keller'],"['Herb Meadow', 'Lawrence B. Marcus']"
War and Peace,1956,['King Vidor'],"['Leo Tolstoy', 'Bridget Boland']"
The Wrong Man,1956,['Alfred Hitchcock'],"['Maxwell Anderson', 'Angus MacPhail']"
The Big Combo,1955,['Joseph H. Lewis'],['Philip Yordan']
Bride of the Monster,1955,['Edward D. Wood Jr.'],"['Edward D. Wood Jr.', 'Alex Gordon']"
Daddy Long Legs,1955,['Jean Negulesco'],"['Phoebe Ephron', 'Henry Ephron']"
The Dam Busters,1955,['Michael Anderson'],"['Paul Brickhill', 'Guy Gibson']"
Diabolique,1955,['Henri-Georges Clouzot'],"['Pierre Boileau', 'Thomas Narcejac']"
The Fast and the Furious,1954,"['John Ireland', 'Edward Sampson']","['Jerome Odlum', 'Jean Howell']"
The Glass Slipper,1955,['Charles Walters'],"['Helen Deutsch', 'Helen Deutsch']"
Godzilla Raids Again,1955,['Motoyoshi Oda'],"['Takeo Murata', 'Shigeaki Hidaka']"
Guys and Dolls,1955,['Joseph L. Mankiewicz'],"['Jo Swerling', 'Abe Burrows']"
Killer's Kiss,1955,['Stanley Kubrick'],['Stanley Kubrick']
Lady and the Tramp,1955,"['Clyde Geronimi', 'Wilfred Jackson', '1 more credit']","['Ward Greene', 'Erdman Penner']"
The Ladykillers,1955,['Alexander Mackendrick'],"['William Rose', 'William Rose']"
The Grand Maneuver,1955,['René Clair'],"['René Clair', 'Jérôme Géronimi']"
Marty,1955,['Delbert Mann'],"['Paddy Chayefsky', 'Paddy Chayefsky']"
My Sister Eileen,1955,['Richard Quine'],"['Blake Edwards', 'Richard Quine']"
The Night of the Hunter,1955,['Charles Laughton'],"['James Agee', 'Davis Grubb']"
Not as a Stranger,1955,['Stanley Kramer'],"['Edna Anhalt', 'Edward Anhalt']"
Oklahoma!,1955,['Fred Zinnemann'],"['Sonya Levien', 'William Ludwig']"
Pather Panchali,1955,['Satyajit Ray'],"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']"
The Prisoner,1955,['Peter Glenville'],"['Bridget Boland', 'Bridget Boland']"
The Prodigal,1955,['Richard Thorpe'],"['Joseph Breen', 'Samuel James Larsen']"
Rebel Without a Cause,1955,['Nicholas Ray'],"['Stewart Stern', 'Irving Shulman']"
Rififi,1955,['Jules Dassin'],"['Auguste Le Breton', 'Jules Dassin']"
The Seven Year Itch,1955,['Billy Wilder'],"['Billy Wilder', 'George Axelrod']"
Smiles of a Summer Night,1955,['Ingmar Bergman'],['Ingmar Bergman']
Summertime,1955,['David Lean'],"['Arthur Laurents', 'H.E. Bates']"
Tarantula,1955,['Jack Arnold'],"['Robert M. Fresco', 'Martin Berkeley']"
This Island Earth,1955,['Joseph M. Newman'],"['Raymond F. Jones', 'Franklin Coen']"
To Catch a Thief,1955,['Alfred Hitchcock'],"['John Michael Hayes', 'David Dodge']"
The Trouble with Harry,1955,['Alfred Hitchcock'],"['John Michael Hayes', 'Jack Trevor Story']"
We're No Angels,1955,['Michael Curtiz'],"['Albert Husson', 'Ranald MacDougall']"
"20,000 Leagues Under the Sea",1954,['Richard Fleischer'],['Earl Felton']
A Star Is Born,1954,['George Cukor'],"['Moss Hart', 'Dorothy Parker']"
An American in Rome,1954,['Steno'],"['Sandro Continenza', 'Lucio Fulci']"
Animal Farm,1954,"['Joy Batchelor', 'John Halas']","['George Orwell', 'Lothar Wolff']"
Attila,1954,['Pietro Francisci'],"['Ennio De Concini', 'Frank Gervasi']"
Carmen Jones,1954,['Otto Preminger'],"['Oscar Hammerstein II', 'Harry Kleiner']"
Cómicos,1954,['Juan Antonio Bardem'],['Juan Antonio Bardem']
Creature from the Black Lagoon,1954,['Jack Arnold'],"['Harry Essex', 'Arthur A. Ross']"
Dial M for Murder,1954,['Alfred Hitchcock'],"['Frederick Knott', 'Frederick Knott']"
Executive Suite,1954,['Robert Wise'],"['Ernest Lehman', 'Cameron Hawley']"
The Glenn Miller Story,1954,['Anthony Mann'],"['Valentine Davies', 'Oscar Brodney']"
Gojira,1954,['Ishirô Honda'],"['Takeo Murata', 'Ishirô Honda']"
Hobson's Choice,1954,['David Lean'],"['Harold Brighouse', 'David Lean']"
Johnny Guitar,1954,['Nicholas Ray'],"['Philip Yordan', 'Roy Chanslor']"
Journey to Italy,1954,['Roberto Rossellini'],"['Vitaliano Brancati', 'Roberto Rossellini']"
Knock on Wood,1954,"['Melvin Frank', 'Norman Panama']","['Norman Panama', 'Melvin Frank']"
Bangiku,1954,['Mikio Naruse'],"['Fumiko Hayashi', 'Sumie Tanaka']"
On the Waterfront,1954,['Elia Kazan'],"['Budd Schulberg', 'Budd Schulberg']"
Phffft,1954,['Mark Robson'],['George Axelrod']
Rear Window,1954,['Alfred Hitchcock'],"['John Michael Hayes', 'Cornell Woolrich']"
Sabrina,1954,['Billy Wilder'],"['Billy Wilder', 'Samuel A. Taylor']"
Salt of the Earth,1954,['Herbert J. Biberman'],['Michael Wilson']
Seven Brides for Seven Brothers,1954,['Stanley Donen'],"['Albert Hackett', 'Frances Goodrich']"
Seven Samurai,1954,['Akira Kurosawa'],"['Akira Kurosawa', 'Shinobu Hashimoto']"
Them!,1954,['Gordon Douglas'],"['Ted Sherdeman', 'Russell S. Hughes']"
Three Coins in the Fountain,1954,['Jean Negulesco'],"['John Patrick', 'John H. Secondari']"
