movie_name,movie_yr,movie_directors,movie_writers
Mr. Holmes,2015,['Bill Condon'],"['Mitch Cullin', 'Jeffrey Hatcher']"
The Murder Pact,2015,['Colin Theys'],['John Doolan']
Mustang,2015,['Deniz Gamze Ergüven'],"['Deniz Gamze Ergüven', 'Alice Winocour']"
My Little Pony: Equestria Girls - Friendship Games,2015,"['Ishi Rudell', 'Jayson Thiessen']",['Josh Haber']
Mythica: The Darkspore,2015,['Anne K. Black'],"['Anne K. Black', 'Jason Faller']"
Never Let Go,2015,['Howard J. Ford'],['Howard J. Ford']
Next Stop L.A.,2015,['Oliver Clark'],['Alexandra Taylor']
Nil Battey Sannata,2015,['Ashwiny Iyer Tiwari'],"['Nitesh Tiwari', 'Ashwiny Iyer Tiwari']"
Hua li shang ban zu,2015,['Johnnie To'],['Sylvia Chang']
Other Halves,2015,['Matthew T. Price'],"['Matthew T. Price', 'Kelly Morr']"
Our Little Sister,2015,['Hirokazu Koreeda'],"['Akimi Yoshida', 'Hirokazu Koreeda']"
The Overnight,2015,['Patrick Brice'],['Patrick Brice']
Pan,2015,['Joe Wright'],"['Jason Fuchs', 'J.M. Barrie']"
Paper Towns,2015,['Jake Schreier'],"['Scott Neustadter', 'Michael H. Weber']"
Parched,2015,['Leena Yadav'],"['Supratik Sen', 'Leena Yadav']"
Pawn Sacrifice,2014,['Edward Zwick'],"['Steven Knight', 'Stephen J. Rivele']"
The Peanuts Movie,2015,['Steve Martino'],"['Craig Schulz', 'Bryan Schulz']"
The Perfect Guy,2015,['David M. Rosenthal'],"['Alan B. McElroy', 'Tyger Williams']"
The Phoenix Incident,2015,['Keith Arem'],['Keith Arem']
The Phoenix Project,2015,['Tyler Graham Pavey'],['Tyler Graham Pavey']
Pitch Perfect 2,2015,['Elizabeth Banks'],"['Kay Cannon', 'Mickey Rapkin']"
Pixels,2015,['Chris Columbus'],"['Tim Herlihy', 'Timothy Dowling']"
Point Break,2015,['Ericson Core'],"['Kurt Wimmer', 'Rick King']"
Portrait of a Serial Monogamist,2015,"['John Mitchell', 'Christina Zeidler']","['John Mitchell', 'Christina Zeidler']"
Predator Dark Ages,2015,['James Bushe'],['James Bushe']
Psychosis,2015,['Darryl Sloan'],['Darryl Sloan']
Que Horas Ela Volta?,2015,['Anna Muylaert'],['Anna Muylaert']
Queen of Earth,2015,['Alex Ross Perry'],['Alex Ross Perry']
The Reason I Shop Online,2015,['Rob Lainchbury'],['Alexandra Taylor']
The Revenant,2015,['Alejandro G. Iñárritu'],"['Mark L. Smith', 'Alejandro G. Iñárritu']"
Riaru onigokko,2015,['Sion Sono'],"['Yûsuke Yamada', 'Sion Sono']"
Ricki and the Flash,2015,['Jonathan Demme'],['Diablo Cody']
The Ridiculous 6,2015,['Frank Coraci'],"['Tim Herlihy', 'Adam Sandler']"
Roald Dahl's Esio Trot,2015,['Dearbhla Walsh'],"['Richard Curtis', 'Paul Mayhew-Archer']"
Room,2015,['Lenny Abrahamson'],"['Emma Donoghue', 'Emma Donoghue']"
Run All Night,2015,['Jaume Collet-Serra'],['Brad Ingelsby']
San Andreas,2015,['Brad Peyton'],"['Carlton Cuse', 'Andre Fabrizio']"
Schneider vs. Bax,2015,['Alex van Warmerdam'],['Alex van Warmerdam']
Scouts Guide to the Zombie Apocalypse,2015,['Christopher Landon'],"['Carrie Lee Wilson', 'Emi Mochizuki']"
The Second Best Exotic Marigold Hotel,2015,['John Madden'],"['Ol Parker', 'Ol Parker']"
Self/less,2015,['Tarsem Singh'],"['Àlex Pastor', 'David Pastor']"
Septembers of Shiraz,2015,['Wayne Blair'],"['Dalia Sofer', 'Hanna Weg']"
Sharknado 3: Oh Hell No!,2015,['Anthony C. Ferrante'],['Thunder Levin']
Shaun the Sheep Movie,2015,"['Mark Burton', 'Richard Starzak']","['Mark Burton', 'Richard Starzak']"
Shisha no teikoku,2015,['Ryôtarô Makihara'],"['Project Itoh', 'Tô Enjo']"
Sicario,2015,['Denis Villeneuve'],['Taylor Sheridan']
The Sin Seer,2015,['Paul D. Hannah'],"['Paul D. Hannah', 'Paul D. Hannah']"
Sisters,2015,['Jason Moore'],['Paula Pell']
Sleeping with Other People,2015,['Leslye Headland'],['Leslye Headland']
Slow Learners,2015,"['Don Argott', 'Sheena M. Joyce']","['Heather Maidat', 'Heather Maidat']"
Slow West,2015,['John Maclean'],['John Maclean']
Southpaw,2015,['Antoine Fuqua'],['Kurt Sutter']
Spectre,2015,['Sam Mendes'],"['John Logan', 'Neal Purvis']"
The SpongeBob Movie: Sponge Out of Water,2015,"['Paul Tibbitt', 'Mike Mitchell']","['Glenn Berger', 'Jonathan Aibel']"
Spotlight,2015,['Tom McCarthy'],"['Josh Singer', 'Tom McCarthy']"
Spy,2015,['Paul Feig'],['Paul Feig']
The Stanford Prison Experiment,2015,['Kyle Patrick Alvarez'],"['Tim Talbott', 'Philip Zimbardo']"
Star Wars: Episode VII - The Force Awakens,2015,['J.J. Abrams'],"['Lawrence Kasdan', 'J.J. Abrams']"
The Steps,2015,['Andrew Currie'],['Robyn Harding']
Steve Jobs,2015,['Danny Boyle'],"['Aaron Sorkin', 'Walter Isaacson']"
Stitcher,2015,"['Barra Convery', 'Michael McAndrew']",None
Straight Outta Compton,2015,['F. Gary Gray'],"['Jonathan Herman', 'Andrea Berloff']"
Strange Magic,2015,['Gary Rydstrom'],"['David Berenbaum', 'Irene Mecchi']"
Suffragette,2015,['Sarah Gavron'],['Abi Morgan']
Sangailes vasara,2015,['Alante Kavaite'],['Alante Kavaite']
Sunset Song,2015,['Terence Davies'],"['Lewis Grassic Gibbon', 'Terence Davies']"
Survivor,2015,['James McTeigue'],['Philip Shelby']
Sweet Bean,2015,['Naomi Kawase'],"['Durian Sukegawa', 'Naomi Kawase']"
Synchronicity,2015,['Jacob Gentry'],"['Jacob Gentry', 'Alex Orr']"
Tangerine,2015,['Sean Baker'],"['Sean Baker', 'Chris Bergoch']"
Taxi,2015,['Jafar Panahi'],['Jafar Panahi']
Ted 2,2015,['Seth MacFarlane'],"['Seth MacFarlane', 'Alec Sulkin']"
Teen Beach 2,2015,['Jeffrey Hornaday'],"['Matt Eddy', 'Billy Eddy']"
Tempête,2015,['Samuel Collardey'],"['Samuel Collardey', 'Catherine Paillé']"
Terminator Genisys,2015,['Alan Taylor'],"['Laeta Kalogridis', 'Patrick Lussier']"
Testament of Youth,2014,['James Kent'],"['Vera Brittain', 'Juliette Towhidi']"
They Call Me Jeeg,2015,['Gabriele Mainetti'],"['Nicola Guaglianone', 'Nicola Guaglianone']"
This Changes Everything,2015,['Avi Lewis'],['Naomi Klein']
The Three Es,2015,['Jason Aaron Goldberg'],['Jason Aaron Goldberg']
Sado,2015,['Joon-ik Lee'],"['Cheol-Hyeon Jo', 'Song-won Lee']"
Tiger House,2015,['Thomas Daley'],['Simon Lewis']
Till We Meet Again,2016,['Bank Tangjaitrong'],"['Johan Matton', 'Johan Matton']"
Timelike,2015,['Richard Boylan'],['Richard Boylan']
