movie_name,movie_yr,movie_directors,movie_writers
One for the Money,2012,['Julie Anne Robinson'],"['Stacy Sherman', 'Karen Ray']"
Out in the Dark,2012,['Michael Mayer'],"['Yael Shafrir', 'Michael Mayer']"
The Pact,2012,['Nicholas McCarthy'],['Nicholas McCarthy']
Papadopoulos & Sons,2012,['Marcus Markou'],['Marcus Markou']
The Paperboy,2012,['Lee Daniels'],"['Peter Dexter', 'Lee Daniels']"
Paradies: Liebe,2012,['Ulrich Seidl'],"['Ulrich Seidl', 'Veronika Franz']"
Paranormal Activity 4,2012,"['Henry Joost', 'Ariel Schulman']","['Christopher Landon', 'Chad Feehan']"
ParaNorman,2012,"['Chris Butler', 'Sam Fell']",['Chris Butler']
Parental Guidance,2012,['Andy Fickman'],"['Lisa Addario', 'Joe Syracuse']"
Paris-Manhattan,2012,['Sophie Lellouche'],['Sophie Lellouche']
Passion,2012,['Brian De Palma'],"['Brian De Palma', 'Natalie Carter']"
Paulette,2012,['Jérôme Enrico'],"['Laurie Aubanel', 'Jérôme Enrico']"
People Like Us,2012,['Alex Kurtzman'],"['Alex Kurtzman', 'Roberto Orci']"
The Perks of Being a Wallflower,2012,['Stephen Chbosky'],"['Stephen Chbosky', 'Stephen Chbosky']"
The Pirates! Band of Misfits,2012,"['Peter Lord', 'Jeff Newitt']","['Gideon Defoe', 'Gideon Defoe']"
Pitch Perfect,2012,['Jason Moore'],"['Kay Cannon', 'Mickey Rapkin']"
The Place Beyond the Pines,2012,['Derek Cianfrance'],"['Derek Cianfrance', 'Ben Coccio']"
Populaire,2012,['Régis Roinsard'],"['Régis Roinsard', 'Daniel Presley']"
The Possession,2012,['Ole Bornedal'],"['Juliet Snowden', 'Stiles White']"
Premium Rush,2012,['David Koepp'],"['David Koepp', 'John Kamps']"
Price Check,2012,['Michael Walker'],['Michael Walker']
Privacy,2012,['Jorg Ihle'],"['Jorg Ihle', 'Nicole Jones-Dion']"
Project X,2012,['Nima Nourizadeh'],"['Matt Drake', 'Michael Bacall']"
Prometheus,2012,['Ridley Scott'],"['Jon Spaihts', 'Damon Lindelof']"
Quartet,2012,['Dustin Hoffman'],"['Ronald Harwood', 'Ronald Harwood']"
Qwerty,2012,['Bill Sebastian'],['Juliet McDaniel']
Radio Rebel,2012,['Peter Howitt'],"['Danielle Joseph', 'Erik Patterson']"
The Raven,2012,['James McTeigue'],"['Hannah Shakespeare', 'Ben Livingston']"
Red Dawn,2012,['Dan Bradley'],"['Carl Ellsworth', 'Jeremy Passmore']"
Red Tails,2012,['Anthony Hemingway'],"['John Ridley', 'John Ridley']"
Renoir,2012,['Gilles Bourdos'],"['Jacques Renoir', 'Gilles Bourdos']"
Resident Evil: Retribution,2012,['Paul W.S. Anderson'],['Paul W.S. Anderson']
Rise of the Animals,2011,['Chris Wojcik'],['Chris Wojcik']
Rise of the Guardians,2012,['Peter Ramsey'],"['David Lindsay-Abaire', 'William Joyce']"
Robot & Frank,2012,['Jake Schreier'],['Christopher Ford']
Rock Jocks,2012,['Paul V. Seetachitt'],['Paul V. Seetachitt']
Rock of Ages,2012,['Adam Shankman'],"['Justin Theroux', ""Chris D'Arienzo""]"
Ruby Sparks,2012,"['Jonathan Dayton', 'Valerie Faris']",['Zoe Kazan']
Rurouni Kenshin Part I: Origins,2012,['Keishi Ohtomo'],"['Nobuhiro Watsuki', 'Kiyomi Fujii']"
Sadako 3D,2012,['Tsutomu Hanabusa'],"['Kôji Suzuki', 'Yoshinobu Fujioka']"
Safe,2012,['Boaz Yakin'],['Boaz Yakin']
Safety Not Guaranteed,2012,['Colin Trevorrow'],['Derek Connolly']
The Sapphires,2012,['Wayne Blair'],"['Keith Thompson', 'Tony Briggs']"
Sassy Pants,2012,['Coley Sohn'],['Coley Sohn']
Savages,2012,['Oliver Stone'],"['Shane Salerno', 'Don Winslow']"
Save the Date,2012,['Michael Mohan'],"['Jeffrey Brown', 'Michael Mohan']"
The Seasoning House,2012,['Paul Hyett'],"['Paul Hyett', 'Conal Palmer']"
Seeking a Friend for the End of the World,2012,['Lorene Scafaria'],['Lorene Scafaria']
The Sessions,2012,['Ben Lewin'],"['Ben Lewin', ""Mark O'Brien""]"
