movie_name,movie_yr,movie_directors,movie_writers
My Brilliant Career,1979,['Gillian Armstrong'],"['Eleanor Witcombe', 'Miles Franklin']"
Nosferatu the Vampyre,1979,['Werner Herzog'],['Werner Herzog']
Phantasm,1979,['Don Coscarelli'],['Don Coscarelli']
Quadrophenia,1979,['Franc Roddam'],"['Dave Humphries', 'Martin Stellman']"
Rock 'n' Roll High School,1979,"['Allan Arkush', 'Joe Dante']","['Richard Whitley', 'Russ Dvonch']"
Rocky II,1979,['Sylvester Stallone'],['Sylvester Stallone']
Rupan sansei: Kariosutoro no shiro,1979,['Hayao Miyazaki'],"['Monkey Punch', 'Hayao Miyazaki']"
Stalker,1979,['Andrei Tarkovsky'],"['Arkadiy Strugatskiy', 'Boris Strugatskiy']"
Star Trek: The Motion Picture,1979,['Robert Wise'],"['Gene Roddenberry', 'Harold Livingston']"
Time After Time,1979,['Nicholas Meyer'],"['Karl Alexander', 'Steve Hayes']"
Tourist Trap,1979,['David Schmoeller'],"['David Schmoeller', 'J. Larry Carroll']"
The Warriors,1979,['Walter Hill'],"['Sol Yurick', 'David Shaber']"
A Woman Called Moses     ,None,"['Jason Bernard', 'Clifford David', 'Judyann Elder', 'See full cast & crew']",None
Animal House,1978,['John Landis'],"['Harold Ramis', 'Douglas Kenney']"
Avalanche,1978,['Corey Allen'],"['Corey Allen', 'Frances Doel']"
Battlestar Galactica,1978,"['Richard A. Colla', 'Alan J. Levi']",['Glen A. Larson']
The Boys from Brazil,1978,['Franklin J. Schaffner'],"['Ira Levin', 'Heywood Gould']"
Damien: Omen II,1978,"['Don Taylor', 'Mike Hodges']","['Harvey Bernhard', 'David Seltzer']"
Dawn of the Dead,1978,['George A. Romero'],['George A. Romero']
Days of Heaven,1978,['Terrence Malick'],['Terrence Malick']
Death on the Nile,1978,['John Guillermin'],['Anthony Shaffer']
The Deer Hunter,1978,['Michael Cimino'],"['Michael Cimino', 'Deric Washburn']"
Foul Play,1978,['Colin Higgins'],['Colin Higgins']
Girlfriends,1978,['Claudia Weill'],"['Claudia Weill', 'Vicki Polon']"
Grease,1978,['Randal Kleiser'],"['Jim Jacobs', 'Warren Casey']"
Autumn Sonata,1978,['Ingmar Bergman'],['Ingmar Bergman']
Halloween,1978,['John Carpenter'],"['John Carpenter', 'Debra Hill']"
The Hound of the Baskervilles,1978,['Paul Morrissey'],"['Peter Cook', 'Dudley Moore']"
I Spit on Your Grave,1978,['Meir Zarchi'],['Meir Zarchi']
Interiors,1978,['Woody Allen'],['Woody Allen']
Jaws 2,1978,['Jeannot Szwarc'],"['Peter Benchley', 'Carl Gottlieb']"
La Cage aux Folles,1978,['Édouard Molinaro'],"['Jean Poiret', 'Francis Veber']"
The Lord of the Rings,1978,['Ralph Bakshi'],"['Chris Conkling', 'Peter S. Beagle']"
Magic,1978,['Richard Attenborough'],"['William Goldman', 'William Goldman']"
Midnight Express,1978,['Alan Parker'],"['Oliver Stone', 'Billy Hayes']"
Quel maledetto treno blindato,1978,['Enzo G. Castellari'],"['Sandro Continenza', 'Sergio Grieco']"
Ringing Bell,1978,['Masami Hata'],['Takashi Yanase']
The Shout,1978,['Jerzy Skolimowski'],"['Robert Graves', 'Michael Austin']"
The Star Wars Holiday Special,1978,"['Steve Binder', 'David Acomba']","['Rod Warren', 'Bruce Vilanch']"
Starcrash,1978,['Luigi Cozzi'],"['Luigi Cozzi', 'Nat Wachsberger']"
Superman,1978,['Richard Donner'],"['Jerry Siegel', 'Joe Shuster']"
Watership Down,1978,['Martin Rosen'],"['Richard Adams', 'Martin Rosen']"
Within the Woods,1978,['Sam Raimi'],['Sam Raimi']
The Wiz,1978,['Sidney Lumet'],"['L. Frank Baum', 'William F. Brown']"
3 Women,1977,['Robert Altman'],['Robert Altman']
The 36 Crazy Fists,1977,['Chi-Hwa Chen'],['On Szeto']
A Bridge Too Far,1977,['Richard Attenborough'],"['Cornelius Ryan', 'William Goldman']"
A Little Night Music,1977,['Harold Prince'],"['Ingmar Bergman', 'Hugh Wheeler']"
A Special Day,1977,['Ettore Scola'],"['Ruggero Maccari', 'Ettore Scola']"
ABBA: The Movie,1977,['Lasse Hallström'],"['Robert Caswell', 'Lasse Hallström']"
Annie Hall,1977,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']"
Close Encounters of the Third Kind,1977,['Steven Spielberg'],['Steven Spielberg']
Damnation Alley,1977,['Jack Smight'],"['Roger Zelazny', 'Alan Sharp']"
Eaten Alive,1976,['Tobe Hooper'],"['Alvin L. Fast', 'Mohammed Rustam']"
Desperate Living,1977,['John Waters'],['John Waters']
"The Devil, Probably",1977,['Robert Bresson'],['Robert Bresson']
Eraserhead,1977,['David Lynch'],['David Lynch']
The Goodbye Girl,1977,['Herbert Ross'],['Neil Simon']
The Haunting of Julia,1977,['Richard Loncraine'],"['Harry Bromley Davenport', 'Dave Humphries']"
High Anxiety,1977,['Mel Brooks'],"['Mel Brooks', 'Ron Clark']"
The Hills Have Eyes,1977,['Wes Craven'],['Wes Craven']
Hausu,1977,['Nobuhiko Ôbayashi'],"['Chiho Katsura', 'Chigumi Ôbayashi']"
Julia,1977,['Fred Zinnemann'],"['Lillian Hellman', 'Alvin Sargent']"
The Kentucky Fried Movie,1977,['John Landis'],"['David Zucker', 'Jim Abrahams']"
Kingdom of the Spiders,1977,"[""John 'Bud' Cardos""]","['Richard Robinson', 'Alan Caillou']"
The Man Who Loved Women,1977,['François Truffaut'],"['Michel Fermaud', 'Suzanne Schiffman']"
