movie_name,movie_yr,movie_directors,movie_writers
The Kiss of the Vampire,1963,['Don Sharp'],['Anthony Hinds']
Lord of the Flies,1963,['Peter Brook'],['William Golding']
"Move Over, Darling",1963,['Michael Gordon'],"['Hal Kanter', 'Jack Sher']"
The Pink Panther,1963,['Blake Edwards'],"['Maurice Richlin', 'Blake Edwards']"
The Raven,1963,['Roger Corman'],"['Richard Matheson', 'Edgar Allan Poe']"
Sanjuro,1962,['Akira Kurosawa'],"['Ryûzô Kikushima', 'Hideo Oguni']"
The Servant,1963,['Joseph Losey'],"['Harold Pinter', 'Robin Maugham']"
Shock Corridor,1963,['Samuel Fuller'],['Samuel Fuller']
The Silence,1963,['Ingmar Bergman'],['Ingmar Bergman']
Summer Holiday,1963,['Peter Yates'],"['Peter Myers', 'Ronald Cass']"
Summer Magic,1963,['James Neilson'],"['Sally Benson', 'Kate Douglas Wiggin']"
La carrière de Suzanne,1963,['Éric Rohmer'],['Éric Rohmer']
The Sword in the Stone,1963,['Wolfgang Reitherman'],"['Bill Peet', 'T.H. White']"
Tom Jones,1963,['Tony Richardson'],"['John Osborne', 'Henry Fielding']"
Unearthly Stranger,1963,['John Krish'],"['Rex Carlton', 'Jeffrey Stone']"
Winter Light,1963,['Ingmar Bergman'],['Ingmar Bergman']
X: The Man with the X-Ray Eyes,1963,['Roger Corman'],"['Robert Dillon', 'Ray Russell']"
Advise & Consent,1962,['Otto Preminger'],"['Allen Drury', 'Wendell Mayes']"
Atraco a las tres,1962,['José María Forqué'],"['Pedro Masó', 'Vicente Coello']"
Boccaccio '70,1962,"['Vittorio De Sica', 'Federico Fellini', '2 more credits']","['Giovanni Arpino', ""Suso Cecchi D'Amico""]"
The Brain That Wouldn't Die,1962,['Joseph Green'],"['Joseph Green', 'Rex Carlton']"
Carnival of Souls,1962,['Herk Harvey'],['John Clifford']
Cartouche,1962,['Philippe de Broca'],"['Daniel Boulanger', 'Philippe de Broca']"
Cleo from 5 to 7,1962,['Agnès Varda'],['Agnès Varda']
Invasion of the Triffids,1963,"['Steve Sekely', 'Freddie Francis']","['Bernard Gordon', 'Philip Yordan']"
The Devil's Hand,1961,['William J. Hole Jr.'],['Jo Heims']
Dr. No,1962,['Terence Young'],"['Richard Maibaum', 'Johanna Harwood']"
Gypsy,1962,['Mervyn LeRoy'],"['Arthur Laurents', 'Gypsy Rose Lee']"
Hatari!,1962,['Howard Hawks'],"['Leigh Brackett', 'Harry Kurnitz']"
Ivan's Childhood,1962,"['Andrei Tarkovsky', 'Eduard Abalov']","['Vladimir Bogomolov', 'Vladimir Bogomolov']"
Jules and Jim,1962,['François Truffaut'],"['Henri-Pierre Roché', 'François Truffaut']"
King Kong vs. Godzilla,1962,['Ishirô Honda'],"[""Shin'ichi Sekizawa"", 'Paul Mason']"
The L-Shaped Room,1962,['Bryan Forbes'],"['Lynne Reid Banks', 'Bryan Forbes']"
La Jetée,1962,['Chris Marker'],"['Étienne Becker', 'Jean Négroni', 'Hélène Chatelain']"
Lawrence of Arabia,1962,['David Lean'],"['T.E. Lawrence', 'Robert Bolt']"
Sundays and Cybèle,1962,['Serge Bourguignon'],"['Serge Bourguignon', 'Antoine Tudal']"
Lolita,1962,['Stanley Kubrick'],"['Vladimir Nabokov', 'Vladimir Nabokov']"
The Loneliness of the Long Distance Runner,1962,['Tony Richardson'],"['Alan Sillitoe', 'Alan Sillitoe']"
The Manchurian Candidate,1962,['John Frankenheimer'],"['Richard Condon', 'George Axelrod']"
The Miracle Worker,1962,['Arthur Penn'],"['William Gibson', 'William Gibson']"
The Music Man,1962,['Morton DaCosta'],"['Meredith Willson', 'Franklin Lacey']"
That Touch of Mink,1962,['Delbert Mann'],"['Stanley Shapiro', 'Nate Monaster']"
To Kill a Mockingbird,1962,['Robert Mulligan'],"['Harper Lee', 'Horton Foote']"
The Trial of Joan of Arc,1962,['Robert Bresson'],['Robert Bresson']
The Trial,1962,['Orson Welles'],"['Pierre Cholot', 'Franz Kafka']"
Walk on the Wild Side,1962,['Edward Dmytryk'],"['Nelson Algren', 'John Fante']"
War of the Buttons,1962,['Yves Robert'],"['Louis Pergaud', 'François Boyer']"
What Ever Happened to Baby Jane?,1962,['Robert Aldrich'],"['Henry Farrell', 'Lukas Heller']"
A Raisin in the Sun,1961,['Daniel Petrie'],"['Lorraine Hansberry', 'Lorraine Hansberry']"
A Taste of Honey,1961,['Tony Richardson'],"['Shelagh Delaney', 'Tony Richardson']"
A Woman Is a Woman,1961,['Jean-Luc Godard'],['Jean-Luc Godard']
Accattone,1961,['Pier Paolo Pasolini'],"['Pier Paolo Pasolini', 'Pier Paolo Pasolini']"
The Beast of Yucca Flats,1961,['Coleman Francis'],['Coleman Francis']
Blue Hawaii,1961,['Norman Taurog'],"['Allan Weiss', 'Hal Kanter']"
Breakfast at Tiffany's,1961,['Blake Edwards'],"['Truman Capote', 'George Axelrod']"
The Children's Hour,1961,['William Wyler'],"['Lillian Hellman', 'John Michael Hayes']"
The Curse of the Werewolf,1961,['Terence Fisher'],"['Anthony Hinds', 'Guy Endore']"
El Cid,1961,['Anthony Mann'],"['Fredric M. Frank', 'Philip Yordan']"
Flame in the Streets,1961,['Roy Ward Baker'],"['Ted Willis', 'Ted Willis']"
The Guns of Navarone,1961,['J. Lee Thompson'],"['Alistair MacLean', 'Carl Foreman']"
The Hustler,1961,['Robert Rossen'],"['Sidney Carroll', 'Robert Rossen']"
The Innocents,1961,['Jack Clayton'],"['Henry James', 'John Mortimer']"
La Notte,1961,['Michelangelo Antonioni'],"['Michelangelo Antonioni', 'Ennio Flaiano']"
"Léon Morin, Priest",1961,['Jean-Pierre Melville'],"['Béatrix Beck', 'Jean-Pierre Melville']"
The Misfits,1961,['John Huston'],['Arthur Miller']
Mothra,1961,['Ishirô Honda'],"[""Shin'ichi Sekizawa"", ""Shin'ichirô Nakamura""]"
Mysterious Island,1961,['Cy Endfield'],"['John Prebble', 'Daniel B. Ullman']"
101 Dalmatians,1961,"['Clyde Geronimi', 'Hamilton Luske', '1 more credit']","['Bill Peet', 'Dodie Smith']"
"One, Two, Three",1961,['Billy Wilder'],"['Billy Wilder', 'I.A.L. Diamond']"
The Parent Trap,1961,['David Swift'],"['Erich Kästner', 'David Swift']"
Paris Blues,1961,['Martin Ritt'],"['Jack Sher', 'Irene Kamp']"
The Phantom Planet,1961,['William Marshall'],"['William Telaak', 'Fred De Gorter']"
Snow White and the Three Stooges,1961,"['Walter Lang', 'Frank Tashlin']","['Noel Langley', 'Elwood Ullman']"
Splendor in the Grass,1961,['Elia Kazan'],['William Inge']
Through a Glass Darkly,1961,['Ingmar Bergman'],['Ingmar Bergman']
Underworld U.S.A.,1961,['Samuel Fuller'],['Samuel Fuller']
West Side Story,1961,"['Jerome Robbins', 'Robert Wise']","['Ernest Lehman', 'Arthur Laurents']"
Yojimbo,1961,['Akira Kurosawa'],"['Akira Kurosawa', 'Akira Kurosawa']"
Breathless,1960,['Jean-Luc Godard'],['François Truffaut']
The Apartment,1960,['Billy Wilder'],"['Billy Wilder', 'I.A.L. Diamond']"
Black Sunday,1960,['Mario Bava'],"['Ennio De Concini', 'Mario Serandrei']"
The Spider's Web,1960,['Fritz Böttger'],"['Fritz Böttger', 'Eldon Howard']"
The Brides of Dracula,1960,['Terence Fisher'],"['Jimmy Sangster', 'Peter Bryan']"
The City of the Dead,1960,['John Llewellyn Moxey'],"['George Baxt', 'Milton Subotsky']"
Exodus,1960,['Otto Preminger'],"['Dalton Trumbo', 'Leon Uris']"
Inherit the Wind,1960,['Stanley Kramer'],"['Nedrick Young', 'Harold Jacob Smith']"
Hell,1960,['Nobuo Nakagawa'],"['Nobuo Nakagawa', 'Ichirô Miyagawa']"
Two Women,1960,['Vittorio De Sica'],"['Alberto Moravia', 'Cesare Zavattini']"
La Dolce Vita,1960,['Federico Fellini'],"['Federico Fellini', 'Ennio Flaiano']"
Late Autumn,1960,['Yasujirô Ozu'],"['Ton Satomi', 'Kôgo Noda']"
Le Trou,1960,['Jacques Becker'],"['José Giovanni', 'Jacques Becker']"
Les yeux sans visage,1960,['Georges Franju'],"['Jean Redon', 'Pierre Boileau']"
Let's Make Love,1960,['George Cukor'],"['Norman Krasna', 'Hal Kanter']"
The Magnificent Seven,1960,['John Sturges'],['William Roberts']
Make Mine Mink,1960,['Robert Asher'],"['Peter Coke', 'Michael Pertwee']"
Peeping Tom,1960,['Michael Powell'],"['Leo Marks', 'Leo Marks']"
Psycho,1960,['Alfred Hitchcock'],"['Joseph Stefano', 'Robert Bloch']"
Rocco and His Brothers,1960,['Luchino Visconti'],"['Luchino Visconti', ""Suso Cecchi D'Amico""]"
School for Scoundrels,1960,"['Robert Hamer', 'Hal E. Chester', '1 more credit']","['Stephen Potter', 'Patricia Moyes']"
Shoot the Piano Player,1960,['François Truffaut'],"['David Goodis', 'François Truffaut']"
Spartacus,1960,['Stanley Kubrick'],"['Dalton Trumbo', 'Howard Fast']"
The Story of Ruth,1960,['Henry Koster'],['Norman Corwin']
Testament of Orpheus,1960,['Jean Cocteau'],['Jean Cocteau']
La Vérité,1960,['Henri-Georges Clouzot'],"['Henri-Georges Clouzot', 'Simone Drieu']"
The Virgin Spring,1960,['Ingmar Bergman'],['Ulla Isaksson']
Where the Boys Are,1960,['Henry Levin'],"['George Wells', 'Glendon Swarthout']"
Wild River,1960,['Elia Kazan'],"['Paul Osborn', 'William Bradford Huie']"
Zazie dans le Métro,1960,['Louis Malle'],"['Raymond Queneau', 'Louis Malle']"
The 400 Blows,1959,['François Truffaut'],"['François Truffaut', 'Marcel Moussy']"
A Bucket of Blood,1959,['Roger Corman'],['Charles B. Griffith']
Anatomy of a Murder,1959,['Otto Preminger'],"['Wendell Mayes', 'John D. Voelker']"
The World of Apu,1959,['Satyajit Ray'],"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']"
Araya,1959,['Margot Benacerraf'],"['Margot Benacerraf', 'Pierre Seghers']"
The Bat,1959,['Crane Wilbur'],"['Crane Wilbur', 'Crane Wilbur']"
Battle in Outer Space,1959,['Ishirô Honda'],"[""Shin'ichi Sekizawa"", 'Jôjirô Okami']"
Ben-Hur,1959,['William Wyler'],"['Lew Wallace', 'Karl Tunberg']"
Come Dance with Me!,1959,['Michel Boisrond'],"['Gérard Oury', 'Jean-Charles Tacchella']"
Darby O'Gill and the Little People,1959,['Robert Stevenson'],"['Lawrence Edward Watkin', 'H.T. Kavanagh']"
Ghost of Dragstrip Hollow,1959,['William J. Hole Jr.'],['Lou Rusoff']
The Giant Gila Monster,1959,['Ray Kellogg'],"['Ray Kellogg', 'Jay Simms']"
Gidget,1959,['Paul Wendkos'],"['Gabrielle Upton', 'Frederick Kohner']"
Good Morning,1959,['Yasujirô Ozu'],"['Kôgo Noda', 'Yasujirô Ozu']"
La grande guerra,1959,['Mario Monicelli'],"['Agenore Incrocci', 'Furio Scarpelli']"
House on Haunted Hill,1959,"['William Castle', 'Rosemary Horvath']",['Robb White']
Imitation of Life,1959,['Douglas Sirk'],"['Eleanore Griffin', 'Allan Scott']"
Journey to the Center of the Earth,1959,['Henry Levin'],"['Walter Reisch', 'Charles Brackett']"
North by Northwest,1959,['Alfred Hitchcock'],['Ernest Lehman']
The Nun's Story,1959,['Fred Zinnemann'],"['Robert Anderson', 'Kathryn Hulme']"
Pillow Talk,1959,['Michael Gordon'],"['Stanley Shapiro', 'Maurice Richlin']"
Rio Bravo,1959,['Howard Hawks'],"['Jules Furthman', 'Leigh Brackett']"
