movie_name,movie_yr,movie_directors,movie_writers
Taken,2008,['Pierre Morel'],"['Luc Besson', 'Robert Mark Kamen']"
The Tale of Despereaux,2008,"['Sam Fell', 'Robert Stevenhagen']","['Kate DiCamillo', 'Will McRobb']"
TBS,2008,['Pieter Kuijpers'],"['Paul Jan Nelissen', 'Pieter Kuijpers']"
Three Kingdoms,2008,['Daniel Lee'],"['Ho Leung Lau', 'Daniel Lee']"
Kolme viisasta miestä,2008,['Mika Kaurismäki'],"['Irina Björklund', 'Kari Heiskanen']"
Tinker Bell,2008,['Bradley Raymond'],"['Jeffrey M. Howard', 'Jeffrey M. Howard']"
Transporter 3,2008,['Olivier Megaton'],"['Luc Besson', 'Robert Mark Kamen']"
Transsiberian,2008,['Brad Anderson'],"['Brad Anderson', 'Will Conroy']"
Na-moo-eobs-neun san,2008,['So Yong Kim'],['So Yong Kim']
Tropic Thunder,2008,['Ben Stiller'],"['Justin Theroux', 'Ben Stiller']"
Twilight,2008,['Catherine Hardwicke'],"['Melissa Rosenberg', 'Stephenie Meyer']"
Valami Amerika 2,2008,['Gábor Herendi'],"['Réka Divinyi', 'Gábor Harmat']"
Valkyrie,2008,['Bryan Singer'],"['Christopher McQuarrie', 'Nathan Alexander']"
Vantage Point,2008,['Pete Travis'],['Barry L. Levy']
Venkovský ucitel,2008,['Bohdan Sláma'],['Bohdan Sláma']
Vicky Cristina Barcelona,2008,['Woody Allen'],['Woody Allen']
WALL·E,2008,['Andrew Stanton'],"['Andrew Stanton', 'Pete Docter']"
Waltz with Bashir,2008,['Ari Folman'],['Ari Folman']
Wanted,2008,['Timur Bekmambetov'],"['Michael Brandt', 'Derek Haas']"
"Welcome Home, Roscoe Jenkins",2008,['Malcolm D. Lee'],['Malcolm D. Lee']
Wendy and Lucy,2008,['Kelly Reichardt'],"['Jonathan Raymond', 'Kelly Reichardt']"
Were the World Mine,2008,['Tom Gustafson'],"['Cory Krueckeberg', 'Tom Gustafson']"
What Doesn't Kill You,2008,['Brian Goodman'],"['Brian Goodman', 'Paul T. Murray']"
What Happens in Vegas,2008,['Tom Vaughan'],['Dana Fox']
While She Was Out,2008,['Susan Montford'],"['Edward Bryant', 'Susan Montford']"
Wild Child,2008,['Nick Moore'],['Lucy Dahl']
The Women,2008,['Diane English'],"['Diane English', 'Clare Boothe Luce']"
Svetat e golyam i spasenie debne otvsyakade,2008,['Stephan Komandarev'],"['Yurii Dachev', 'Stephan Komandarev']"
The Wrestler,2008,['Darren Aronofsky'],['Robert Siegel']
The X Files: I Want to Believe,2008,['Chris Carter'],"['Frank Spotnitz', 'Chris Carter']"
Yes Man,2008,['Peyton Reed'],"['Nicholas Stoller', 'Jarrad Paul']"
Zombie Strippers!,2008,['Jay Lee'],['Jay Lee']
Dream Cruise     ,None,['Norio Tsuruta'],"['Mick Garris', 'Kôji Suzuki']"
Right to Die     ,None,['Rob Schmidt'],['John Esposito']
The Black Cat     ,None,['Stuart Gordon'],"['Mick Garris', 'Dennis Paoli']"
The Washingtonians     ,None,['Peter Medak'],"['Mick Garris', 'Richard Chizmar']"
