movie_title,movie_imdb_url,bechdel_rating
Love per square foot  ,http://us.imdb.com/title/tt7853242/,3
"Love, Simon  ",http://us.imdb.com/title/tt5164432/,1
Mamma Mia! Here We Go Again  ,http://us.imdb.com/title/tt6911608/,3
The Man Who Killed Don Quixote  ,http://us.imdb.com/title/tt1318517/,1
Mandy  ,http://us.imdb.com/title/tt6998518/,2
Mary Poppins Returns  ,http://us.imdb.com/title/tt5028340/,3
Mary Queen of Scots  ,http://us.imdb.com/title/tt2328900/,3
Maze Runner: The Death Cure  ,http://us.imdb.com/title/tt4500922/,3
The Meg  ,http://us.imdb.com/title/tt4779682/,3
Mid90s  ,http://us.imdb.com/title/tt5613484/,1
The Miracle Season  ,http://us.imdb.com/title/tt5427194/,3
The Miseducation of Cameron Post ,http://us.imdb.com/title/tt6257174/,3
Mission Impossible: Fallout  ,http://us.imdb.com/title/tt4912910/,1
Mortal Engines  ,http://us.imdb.com/title/tt1571234/,3
The Mule  ,http://us.imdb.com/title/tt7959026/,2
My hero academia: Two heroes  ,http://us.imdb.com/title/tt7745068/,3
My Little Pony Equestria Girls: Forgotten Friendship  ,http://us.imdb.com/title/tt7869818/,3
Nappily Ever Aftet  ,http://us.imdb.com/title/tt0365545/,3
The Nutcracker and the Four Realms  ,http://us.imdb.com/title/tt5523010/,3
Ocean's 8  ,http://us.imdb.com/title/tt5164214/,3
The Old Man & the Gun  ,http://us.imdb.com/title/tt2837574/,1
On the Basis of Sex  ,http://us.imdb.com/title/tt4669788/,3
Overboard  ,http://us.imdb.com/title/tt1563742/,3
Pacific Rim: Uprising  ,http://us.imdb.com/title/tt2557478/,3
Pass Over  ,http://us.imdb.com/title/tt7768846/,0
Patient Zero  ,http://us.imdb.com/title/tt3458254/,1
Please Stand By ,http://us.imdb.com/title/tt4652650/,3
The Predator  ,http://us.imdb.com/title/tt3829266/,1
Quien te cantara  ,http://us.imdb.com/title/tt6485304/,2
Rafiki  ,http://us.imdb.com/title/tt8286894/,3
Ralph Breaks the Internet  ,http://us.imdb.com/title/tt5848272/,3
Rampage  ,http://us.imdb.com/title/tt2231461/,3
Ready Player One  ,http://us.imdb.com/title/tt1677720/,3
Red Sparrow  ,http://us.imdb.com/title/tt2873282/,3
Robin Hood  ,http://us.imdb.com/title/tt4532826/,1
Roma  ,http://us.imdb.com/title/tt6155172/,3
Searching  ,http://us.imdb.com/title/tt7668870/,1
Set It Up  ,http://us.imdb.com/title/tt5304992/,3
Sheherazade  ,http://us.imdb.com/title/tt8459250/,3
Shoplifters  ,http://us.imdb.com/title/tt8075192/,3
Sierra Burgess Is a Loser  ,http://us.imdb.com/title/tt3120280/,3
The Sisters Brothers  ,http://us.imdb.com/title/tt4971344/,1
Skate Kitchen  ,http://us.imdb.com/title/tt7545566/,3
Slender Man  ,http://us.imdb.com/title/tt5690360/,3
Smallfoot  ,http://us.imdb.com/title/tt6182908/,3
Solo: A Star Wars Story  ,http://us.imdb.com/title/tt3778644/,2
Sorry to Bother You  ,http://us.imdb.com/title/tt5688932/,1
Spider-Man : Into the Spider-Verse  ,http://us.imdb.com/title/tt4633694/,1
The Spy Who Dumped Me  ,http://us.imdb.com/title/tt6663582/,3
Stan & Ollie  ,http://us.imdb.com/title/tt3385524/,3
Suspiria  ,http://us.imdb.com/title/tt1034415/,3
Tag  ,http://us.imdb.com/title/tt2854926/,3
