movie_name,movie_yr,movie_directors,movie_writers
"Crouching Tiger, Hidden Dragon",2000,['Ang Lee'],"['Du Lu Wang', 'Hui-Ling Wang']"
X-Men,2000,['Bryan Singer'],"['Tom DeSanto', 'Bryan Singer']"
10 Things I Hate About You,1999,['Gil Junger'],"['Karen McCullah', 'Kirsten Smith']"
The 13th Warrior,1999,"['John McTiernan', 'Michael Crichton']","['Michael Crichton', 'William Wisher']"
200 Cigarettes,1999,['Risa Bramon Garcia'],['Shana Larsen']
The 4th Floor,1999,['Josh Klausner'],['Josh Klausner']
Ruang talok 69,1999,['Pen-Ek Ratanaruang'],['Pen-Ek Ratanaruang']
8MM,1999,['Joel Schumacher'],['Andrew Kevin Walker']
A Midsummer Night's Dream,1999,['Michael Hoffman'],"['William Shakespeare', 'Michael Hoffman']"
A Walk on the Moon,1999,['Tony Goldwyn'],['Pamela Gray']
Aimee & Jaguar,1999,['Max Färberböck'],"['Max Färberböck', 'Rona Munro']"
American Beauty,1999,['Sam Mendes'],['Alan Ball']
American Pie,1999,"['Paul Weitz', 'Chris Weitz']",['Adam Herz']
Analyze This,1999,['Harold Ramis'],"['Kenneth Lonergan', 'Peter Tolan']"
Anna and the King,1999,['Andy Tennant'],"['Anna Leonowens', 'Steve Meerson']"
Annie     ,None,['Rob Marshall'],"['Irene Mecchi', 'Thomas Meehan']"
Anywhere But Here,1999,['Wayne Wang'],"['Mona Simpson', 'Alvin Sargent']"
Aristocrats     ,None,"['Siân Phillips', 'Alun Armstrong', 'Ben Daniels', 'See full cast & crew']",None
Asterix and Obelix vs. Caesar,1999,['Claude Zidi'],"['René Goscinny', 'Albert Uderzo']"
Audition,1999,['Takashi Miike'],"['Ryû Murakami', 'Daisuke Tengan']"
Austin Powers: The Spy Who Shagged Me,1999,['Jay Roach'],"['Mike Myers', 'Michael McCullers']"
Beau travail,1999,['Claire Denis'],"['Claire Denis', 'Jean-Pol Fargeau']"
Being John Malkovich,1999,['Spike Jonze'],['Charlie Kaufman']
Better Than Chocolate,1999,['Anne Wheeler'],['Peggy Thompson']
Bicentennial Man,1999,['Chris Columbus'],"['Isaac Asimov', 'Isaac Asimov']"
The Big Kahuna,1999,['John Swanbeck'],"['Roger Rueff', 'Roger Rueff']"
Black & White,1999,['James Toback'],['James Toback']
The Blair Witch Project,1999,"['Daniel Myrick', 'Eduardo Sánchez']","['Daniel Myrick', 'Eduardo Sánchez']"
Blast from the Past,1999,['Hugh Wilson'],"['Bill Kelly', 'Bill Kelly']"
Blue Streak,1999,['Les Mayfield'],"['Michael Berry', 'John Blumenthal']"
The Boondock Saints,1999,['Troy Duffy'],['Troy Duffy']
Bowfinger,1999,['Frank Oz'],['Steve Martin']
Boys Don't Cry,1999,['Kimberly Peirce'],"['Kimberly Peirce', 'Andy Bienen']"
Brokedown Palace,1999,['Jonathan Kaplan'],"['Adam Fields', 'David Arata']"
But I'm a Cheerleader,1999,['Jamie Babbit'],"['Brian Peterson', 'Jamie Babbit']"
The Rage: Carrie 2,1999,"['Katt Shea', 'Robert Mandel']","['Stephen King', 'Rafael Moreu']"
The Cider House Rules,1999,['Lasse Hallström'],"['John Irving', 'John Irving']"
Cruel Intentions,1999,['Roger Kumble'],"['Choderlos de Laclos', 'Roger Kumble']"
Deuce Bigalow: Male Gigolo,1999,['Mike Mitchell'],"['Harris Goldberg', 'Rob Schneider']"
Dick,1999,['Andrew Fleming'],"['Andrew Fleming', 'Sheryl Longin']"
Dogma,1999,['Kevin Smith'],['Kevin Smith']
Double Platinum,1999,['Robert Allan Ackerman'],['Nina Shengold']
Drop Dead Gorgeous,1999,['Michael Patrick Jann'],['Lona Williams']
East Is East,1999,"[""Damien O'Donnell""]","['Ayub Khan-Din', 'Ayub Khan-Din']"
Edtv,1999,['Ron Howard'],"['Émile Gaudreault', 'Sylvie Bouchard']"
Election,1999,['Alexander Payne'],"['Tom Perrotta', 'Alexander Payne']"
eXistenZ,1999,['David Cronenberg'],['David Cronenberg']
Eyes Wide Shut,1999,['Stanley Kubrick'],"['Stanley Kubrick', 'Frederic Raphael']"
Family Guy     ,None,"['Seth MacFarlane', 'David Zuckerman']","['Seth MacFarlane', 'Alex Borstein', 'Seth Green']"
Fantasia 2000,1999,"['James Algar', 'Gaëtan Brizzi', '6 more credits']","['Eric Goldberg', 'Hans Christian Andersen']"
Fight Club,1999,['David Fincher'],"['Chuck Palahniuk', 'Jim Uhls']"
Flawless,1999,['Joel Schumacher'],['Joel Schumacher']
For Love of the Game,1999,['Sam Raimi'],"['Michael Shaara', 'Dana Stevens']"
Galaxy Quest,1999,['Dean Parisot'],"['David Howard', 'David Howard']"
Ghost Dog: The Way of the Samurai,1999,['Jim Jarmusch'],['Jim Jarmusch']
Gigantic,1999,['Sebastian Schipper'],['Sebastian Schipper']
"Girl, Interrupted",1999,['James Mangold'],"['Susanna Kaysen', 'James Mangold']"
Go,1999,['Doug Liman'],['John August']
The Green Mile,1999,['Frank Darabont'],"['Stephen King', 'Frank Darabont']"
The Haunting,1999,['Jan de Bont'],"['David Self', 'Shirley Jackson']"
Holy Smoke,1999,['Jane Campion'],"['Anna Campion', 'Jane Campion']"
Human Traffic,1999,['Justin Kerrigan'],['Justin Kerrigan']
The Hurricane,1999,['Norman Jewison'],"[""Rubin 'Hurricane' Carter"", 'Sam Chaiton']"
Desert Heat,1999,['John G. Avildsen'],"[""Tom O'Rourke""]"
Introducing Dorothy Dandridge,1999,['Martha Coolidge'],"['Earl Mills', 'Shonda Rhimes']"
The Iron Giant,1999,['Brad Bird'],"['Tim McCanlies', 'Brad Bird']"
Jawbreaker,1999,['Darren Stein'],['Darren Stein']
Juha,1999,['Aki Kaurismäki'],"['Juhani Aho', 'Aki Kaurismäki']"
Kikujiro,1999,['Takeshi Kitano'],['Takeshi Kitano']
The Nameless,1999,['Jaume Balagueró'],"['Jaume Balagueró', 'Ramsey Campbell']"
The Magical Legend of the Leprechauns     ,None,"['Randy Quaid', 'Whoopi Goldberg', 'Roger Daltrey', 'See full cast & crew']",None
Magnolia,1999,['Paul Thomas Anderson'],['Paul Thomas Anderson']
Man on the Moon,1999,['Milos Forman'],"['Scott Alexander', 'Larry Karaszewski']"
