movie_name,movie_yr,movie_directors,movie_writers
Ali: Fear Eats the Soul,1973,['Rainer Werner Fassbinder'],['Rainer Werner Fassbinder']
Alice Doesn't Live Here Anymore,1974,['Martin Scorsese'],['Robert Getchell']
Black Christmas,1974,['Bob Clark'],['Roy Moore']
Blazing Saddles,1974,['Mel Brooks'],"['Mel Brooks', 'Norman Steinberg']"
Brief Encounter,1974,['Alan Bridges'],"['John Bowen', 'Noël Coward']"
Celine and Julie Go Boating,1974,['Jacques Rivette'],"['Juliet Berto', 'Dominique Labourier']"
Chinatown,1974,['Roman Polanski'],['Robert Towne']
The Conversation,1974,['Francis Ford Coppola'],['Francis Ford Coppola']
Dark Star,1974,['John Carpenter'],"['John Carpenter', ""Dan O'Bannon""]"
Death Wish,1974,['Michael Winner'],"['Brian Garfield', 'Wendell Mayes']"
Dracula,1974,['Dan Curtis'],['Richard Matheson']
Edvard Munch,1974,['Peter Watkins'],['Peter Watkins']
Emmanuelle,1974,['Just Jaeckin'],"['Emmanuelle Arsan', 'Jean-Louis Richard']"
Female Trouble,1974,['John Waters'],['John Waters']
Foxy Brown,1974,['Jack Hill'],['Jack Hill']
The Godfather: Part II,1974,['Francis Ford Coppola'],"['Francis Ford Coppola', 'Mario Puzo']"
Godzilla vs. Mechagodzilla,1974,['Jun Fukuda'],"['Jun Fukuda', 'Masami Fukushima']"
Going Places,1974,['Bertrand Blier'],"['Bertrand Blier', 'Bertrand Blier']"
The Groove Tube,1974,['Ken Shapiro'],"['Lane Sarasohn', 'Ken Shapiro']"
"Je, tu, il, elle",1974,['Chantal Akerman'],"['Chantal Akerman', 'Eric De Kuyper']"
The Legend of the 7 Golden Vampires,1974,"['Roy Ward Baker', 'Cheh Chang']",['Don Houghton']
Mame,1974,['Gene Saks'],"['Jerome Lawrence', 'Robert E. Lee']"
The Man with the Golden Gun,1974,['Guy Hamilton'],"['Richard Maibaum', 'Tom Mankiewicz']"
Let Sleeping Corpses Lie,1974,['Jorge Grau'],"['Sandro Continenza', 'Marcello Coscia']"
The Odessa File,1974,['Ronald Neame'],"['Frederick Forsyth', 'Kenneth Ross']"
The Parallax View,1974,['Alan J. Pakula'],"['David Giler', 'Lorenzo Semple Jr.']"
Phantom of the Paradise,1974,['Brian De Palma'],['Brian De Palma']
The Sugarland Express,1974,['Steven Spielberg'],"['Hal Barwood', 'Matthew Robbins']"
The Texas Chain Saw Massacre,1974,['Tobe Hooper'],"['Kim Henkel', 'Tobe Hooper']"
The Towering Inferno,1974,['John Guillermin'],"['Richard Martin Stern', 'Thomas N. Scortia']"
Truck Turner,1974,['Jonathan Kaplan'],"['Oscar Williams', 'Michael Allin']"
Vampyres,1974,['José Ramón Larraz'],['Diana Daubeney']
Young Frankenstein,1974,['Mel Brooks'],"['Gene Wilder', 'Mel Brooks']"
Zardoz,1974,['John Boorman'],['John Boorman']
A Charlie Brown Thanksgiving,1973,"['Bill Melendez', 'Phil Roman']","['Charles M. Schulz', 'Jerry Juhl']"
A Doll's House,1973,['Patrick Garland'],"['Henrik Ibsen', 'Christopher Hampton']"
A Touch of Class,1973,['Melvin Frank'],"['Melvin Frank', 'Jack Rose']"
American Graffiti,1973,['George Lucas'],"['George Lucas', 'Gloria Katz']"
The Baby,1973,['Ted Post'],['Abe Polsky']
Badlands,1973,['Terrence Malick'],['Terrence Malick']
Black Mama White Mama,1973,['Eddie Romero'],"['H.R. Christian', 'Joe Viola']"
Children Shouldn't Play with Dead Things,1972,['Bob Clark'],"['Alan Ormsby', 'Bob Clark']"
The Crazies,1973,['George A. Romero'],"['Paul McCollough', 'George A. Romero']"
Day for Night,1973,['François Truffaut'],"['François Truffaut', 'Jean-Louis Richard']"
Don Juan (Or If Don Juan Were a Woman),1973,['Roger Vadim'],"['Jean Cau', 'Roger Vadim']"
Don't Look Now,1973,['Nicolas Roeg'],"['Daphne Du Maurier', 'Allan Scott']"
Return of the Evil Dead,1973,['Amando de Ossorio'],"['Amando de Ossorio', 'Amando de Ossorio']"
The Exorcist,1973,['William Friedkin'],"['William Peter Blatty', 'William Peter Blatty']"
Godzilla vs. Megalon,1973,['Jun Fukuda'],"['Jun Fukuda', 'Takeshi Kimura']"
High Plains Drifter,1973,['Clint Eastwood'],['Ernest Tidyman']
The Holy Mountain,1973,['Alejandro Jodorowsky'],['Alejandro Jodorowsky']
Ivan Vasilievich: Back to the Future,1973,['Leonid Gaidai'],"['Mikhail A. Bulgakov', 'Vladlen Bakhnov']"
Jesus Christ Superstar,1973,['Norman Jewison'],"['Melvyn Bragg', 'Norman Jewison']"
Lady Snowblood,1973,['Toshiya Fujita'],"['Kazuo Kamimura', 'Kazuo Koike']"
The Legend of Hell House,1973,['John Hough'],"['Richard Matheson', 'Richard Matheson']"
Lemora: A Child's Tale of the Supernatural,1973,['Richard Blackburn'],"['Richard Blackburn', 'Robert Fern']"
Live and Let Die,1973,['Guy Hamilton'],['Tom Mankiewicz']
Les aventures de Rabbi Jacob,1973,['Gérard Oury'],"['Gérard Oury', 'Danièle Thompson']"
Mean Streets,1973,['Martin Scorsese'],"['Martin Scorsese', 'Mardik Martin']"
Paper Moon,1973,['Peter Bogdanovich'],"['Joe David Brown', 'Alvin Sargent']"
Papillon,1973,['Franklin J. Schaffner'],"['Dalton Trumbo', 'Lorenzo Semple Jr.']"
Payday,1973,['Daryl Duke'],['Don Carpenter']
Robin Hood,1973,['Wolfgang Reitherman'],"['Larry Clemmons', 'Ken Anderson']"
The Satanic Rites of Dracula,1973,['Alan Gibson'],['Don Houghton']
Serpico,1973,['Sidney Lumet'],"['Peter Maas', 'Waldo Salt']"
Sleeper,1973,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']"
Soylent Green,1973,['Richard Fleischer'],"['Stanley R. Greenberg', 'Harry Harrison']"
The Spirit of the Beehive,1973,['Víctor Erice'],"['Ángel Fernández Santos', 'Víctor Erice']"
The Sting,1973,['George Roy Hill'],['David S. Ward']
Turkish Delight,1973,['Paul Verhoeven'],"['Gerard Soeteman', 'Jan Wolkers']"
The Wicker Man,1973,['Robin Hardy'],['Anthony Shaffer']
