movie_name,movie_yr,movie_directors,movie_writers
Best Defense,1984,['Willard Huyck'],"['Robert Grossbach', 'Gloria Katz']"
Beverly Hills Cop,1984,['Martin Brest'],"['Daniel Petrie Jr.', 'Danilo Bach']"
Blame It on Rio,1984,['Stanley Donen'],"['Charlie Peters', 'Larry Gelbart']"
Blood Simple,1984,"['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen']"
Body Double,1984,['Brian De Palma'],"['Robert J. Avrech', 'Brian De Palma']"
The Bostonians,1984,['James Ivory'],"['Henry James', 'Ruth Prawer Jhabvala']"
Children of the Corn,1984,['Fritz Kiersch'],"['Stephen King', 'George Goldsmith']"
Conan the Destroyer,1984,['Richard Fleischer'],"['Robert E. Howard', 'Roy Thomas']"
Dune,1984,['David Lynch'],"['Frank Herbert', 'David Lynch']"
El pico 2,1984,['Eloy de la Iglesia'],"['Gonzalo Goicoechea', 'Fermín Cabal']"
Friday the 13th: The Final Chapter,1984,['Joseph Zito'],"['Victor Miller', 'Ron Kurz']"
Ghostbusters,1984,['Ivan Reitman'],"['Dan Aykroyd', 'Harold Ramis']"
Godzilla 1985,1984,"['Koji Hashimoto', 'R.J. Kizer']","['Hideichi Nagahara', 'Tomoyuki Tanaka']"
Gremlins,1984,['Joe Dante'],['Chris Columbus']
The Ice Pirates,1984,['Stewart Raffill'],"['Stewart Raffill', 'Stanford Sherman']"
Indiana Jones and the Temple of Doom,1984,['Steven Spielberg'],"['Willard Huyck', 'Gloria Katz']"
The Jewel in the Crown     ,None,"['Tim Pigott-Smith', 'Geraldine James', 'Wendy Morgan', 'See full cast & crew']",None
Johnny Dangerously,1984,['Amy Heckerling'],"['Harry Colomby', 'Jeff Harris']"
The Karate Kid,1984,['John G. Avildsen'],['Robert Mark Kamen']
Nausicaä of the Valley of the Wind,1984,['Hayao Miyazaki'],"['Hayao Miyazaki', 'Hayao Miyazaki']"
The Last Starfighter,1984,['Nick Castle'],['Jonathan R. Betuel']
Los santos inocentes,1984,['Mario Camus'],"['Miguel Delibes', 'Antonio Larreta']"
Love Streams,1984,['John Cassavetes'],"['Ted Allan', 'Ted Allan']"
The Muppets Take Manhattan,1984,['Frank Oz'],"['Tom Patchett', 'Jay Tarses']"
The Natural,1984,['Barry Levinson'],"['Bernard Malamud', 'Roger Towne']"
The NeverEnding Story,1984,['Wolfgang Petersen'],"['Wolfgang Petersen', 'Herman Weigel']"
Night of the Comet,1984,['Thom Eberhardt'],['Thom Eberhardt']
1984,1984,['Michael Radford'],"['George Orwell', 'Michael Radford']"
Non ci resta che piangere,1984,"['Roberto Benigni', 'Massimo Troisi']","['Roberto Benigni', 'Roberto Benigni']"
Once Upon a Time in America,1984,['Sergio Leone'],"['Harry Grey', 'Leonardo Benvenuti']"
"Paris, Texas",1984,['Wim Wenders'],"['L.M. Kit Carson', 'Sam Shepard']"
The Philadelphia Experiment,1984,['Stewart Raffill'],"['Michael Janover', 'William Gray']"
Poison for the Fairies,1985,['Carlos Enrique Taboada'],"['Carlos Enrique Taboada', 'Carlos Enrique Taboada']"
Police Academy,1984,['Hugh Wilson'],"['Neal Israel', 'Pat Proft']"
Protocol,1984,['Herbert Ross'],"['Buck Henry', 'Charles Shyer']"
Purple Rain,1984,['Albert Magnoli'],"['Albert Magnoli', 'William Blinn']"
Razorback,1984,['Russell Mulcahy'],"['Peter Brennan', 'Everett De Roche']"
Repo Man,1984,['Alex Cox'],['Alex Cox']
Revenge of the Nerds,1984,['Jeff Kanew'],"['Tim Metcalfe', 'Miguel Tejada-Flores']"
Secret Places,1984,['Zelda Barron'],"['Zelda Barron', 'Janice Elliott']"
"Silent Night, Deadly Night",1984,['Charles E. Sellier Jr.'],"['Paul Caimi', 'Michael Hickey']"
Sixteen Candles,1984,['John Hughes'],['John Hughes']
Splash,1984,['Ron Howard'],"['Brian Grazer', 'Bruce Jay Friedman']"
Star Trek III: The Search for Spock,1984,['Leonard Nimoy'],"['Gene Roddenberry', 'Harve Bennett']"
Starman,1984,['John Carpenter'],"['Bruce A. Evans', 'Raynold Gideon']"
Supergirl,1984,['Jeannot Szwarc'],['David Odell']
The Terminator,1984,['James Cameron'],"['James Cameron', 'Gale Anne Hurd']"
This Is Spinal Tap,1984,['Rob Reiner'],"['Christopher Guest', 'Michael McKean']"
Top Secret!,1984,"['Jim Abrahams', 'David Zucker', '1 more credit']","['Jim Abrahams', 'David Zucker']"
Trancers,1984,['Charles Band'],"['Danny Bilson', 'Paul De Meo']"
What Have I Done to Deserve This?,1984,['Pedro Almodóvar'],['Pedro Almodóvar']
The 4th Man,1983,['Paul Verhoeven'],"['Gerard Reve', 'Gerard Soeteman']"
A Christmas Story,1983,['Bob Clark'],"['Jean Shepherd', 'Jean Shepherd']"
The Ballad of Narayama,1983,['Shôhei Imamura'],"['Shôhei Imamura', 'Shichirô Fukazawa']"
Hadashi no Gen,1983,['Mori Masaki'],['Keiji Nakazawa']
Born in Flames,1983,['Lizzie Borden'],"['Lizzie Borden', 'Ed Bowes']"
Breathless,1983,['Jim McBride'],"['François Truffaut', 'Jean-Luc Godard']"
Christine,1983,['John Carpenter'],"['Stephen King', 'Bill Phillips']"
Cujo,1983,['Lewis Teague'],"['Stephen King', 'Don Carlos Dunaway']"
Dark Habits,1983,['Pedro Almodóvar'],['Pedro Almodóvar']
The Dead Zone,1983,['David Cronenberg'],"['Jeffrey Boam', 'Stephen King']"
Educating Rita,1983,['Lewis Gilbert'],['Willy Russell']
El Norte,1983,['Gregory Nava'],"['Gregory Nava', 'Anna Thomas']"
El pico,1983,['Eloy de la Iglesia'],"['Gonzalo Goicoechea', 'Eloy de la Iglesia']"
Flashdance,1983,['Adrian Lyne'],"['Thomas Hedley Jr.', 'Joe Eszterhas']"
Go for It,1983,['Enzo Barboni'],['Marco Barboni']
Hercules,1983,['Luigi Cozzi'],['Luigi Cozzi']
The Hunger,1983,['Tony Scott'],"['Ivan Davis', 'Michael Thomas']"
Jaws 3-D,1983,['Joe Alves'],"['Peter Benchley', 'Richard Matheson']"
Krull,1983,['Peter Yates'],['Stanford Sherman']
Lianna,1983,['John Sayles'],['John Sayles']
Local Hero,1983,['Bill Forsyth'],['Bill Forsyth']
Los renglones torcidos de Dios,1983,['Tulio Demicheli'],"['Tulio Demicheli', 'Torcuato Luca de Tena']"
The Man with Two Brains,1983,['Carl Reiner'],"['George Gipe', 'Steve Martin']"
