movie_name,movie_yr,movie_directors,movie_writers
The Immigrant,2013,['James Gray'],"['James Gray', 'Ric Menello']"
In a World...,2013,['Lake Bell'],['Lake Bell']
In Fear,2013,['Jeremy Lovering'],"['Jeremy Lovering', 'Jon Croker']"
The Incredible Burt Wonderstone,2013,['Don Scardino'],"['Jonathan Goldstein', 'John Francis Daley']"
Inside Llewyn Davis,2013,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']"
Insidious: Chapter 2,2013,['James Wan'],"['Leigh Whannell', 'James Wan']"
Instructions Not Included,2013,['Eugenio Derbez'],"['Guillermo Ríos', 'Leticia López Margalli']"
Interior. Leather Bar.,2013,"['James Franco', 'Travis Mathews']",['Travis Mathews']
The Internship,2013,['Shawn Levy'],"['Vince Vaughn', 'Jared Stern']"
The Invisible Woman,2013,['Ralph Fiennes'],"['Abi Morgan', 'Claire Tomalin']"
Iron Man Three,2013,['Shane Black'],"['Drew Pearce', 'Shane Black']"
Is the Man Who Is Tall Happy?,2013,['Michel Gondry'],['Michel Gondry']
Jack et la mécanique du coeur,2013,"['Stéphane Berla', 'Mathias Malzieu']","['Mathias Malzieu', 'Mathias Malzieu']"
Jack the Giant Slayer,2013,['Bryan Singer'],"['Darren Lemke', 'Christopher McQuarrie']"
Young & Beautiful,2013,['François Ozon'],['François Ozon']
Jug Face,2013,['Chad Crawford Kinkle'],['Chad Crawford Kinkle']
Rise of the Dinosaurs,2013,['Anthony Fankhauser'],['Rafael Jordan']
Justice Is Mind,2013,['Mark Lund'],['Mark Lund']
Justice League: The Flashpoint Paradox,2013,['Jay Oliva'],"['James Krieg', 'Geoff Johns']"
Kärlek deluxe,2014,['Kristina Kjellin'],['Anna Platt']
Kaze tachinu,2013,['Hayao Miyazaki'],"['Hayao Miyazaki', 'Hayao Miyazaki']"
Kick-Ass 2,2013,['Jeff Wadlow'],"['Jeff Wadlow', 'Mark Millar']"
Kill for Me,2013,['Michael Greenspan'],"['Christopher Dodd', 'Michael Greenspan']"
Kill Your Darlings,2013,['John Krokidas'],"['Austin Bunn', 'Austin Bunn']"
Killing Season,2013,['Mark Steven Johnson'],['Evan Daugherty']
The Kings of Summer,2013,['Jordan Vogt-Roberts'],['Chris Galletta']
Knights of Badassdom,2013,['Joe Lynch'],"['Kevin Dreyfuss', 'Matt Wall']"
Kyss meg for faen i helvete,2013,['Stian Kristiansen'],"['Stian Kristiansen', 'Kamilla Krogsveen']"
L'amour est un crime parfait,2013,"['Arnaud Larrieu', 'Jean-Marie Larrieu']","['Philippe Djian', 'Arnaud Larrieu']"
L'écume des jours,2013,['Michel Gondry'],"['Michel Gondry', 'Luc Bossi']"
The Great Beauty,2013,['Paolo Sorrentino'],"['Paolo Sorrentino', 'Paolo Sorrentino']"
La jaula de oro,2013,['Diego Quemada-Díez'],"['Diego Quemada-Díez', 'Gibrán Portela']"
Venus in Fur,2013,['Roman Polanski'],"['David Ives', 'Roman Polanski']"
The Last Exorcism Part II,2013,['Ed Gass-Donnelly'],"['Damien Chazelle', 'Ed Gass-Donnelly']"
The Last Keepers,2013,['Maggie Greenwald'],"['Peter Hutchings', 'Christina Mengert']"
The Last of Robin Hood,2013,"['Richard Glatzer', 'Wash Westmoreland']","['Richard Glatzer', 'Wash Westmoreland']"
Last Passenger,2013,['Omid Nooshin'],"['Omid Nooshin', 'Andy Love']"
The Last Stand,2013,['Jee-woon Kim'],['Andrew Knauer']
Last Vegas,2013,['Jon Turteltaub'],['Dan Fogelman']
Le passé,2013,['Asghar Farhadi'],['Asghar Farhadi']
Le Week-End,2013,['Roger Michell'],['Hanif Kureishi']
The Butler,2013,['Lee Daniels'],"['Danny Strong', 'Wil Haygood']"
Legends of Oz: Dorothy's Return,2013,"['Will Finn', 'Daniel St. Pierre']","['Roger S. Baum', 'Randi Barnes']"
"Les garçons et Guillaume, à table!",2013,['Guillaume Gallienne'],"['Guillaume Gallienne', 'Claude Mathieu']"
Les reines du ring,2013,['Jean-Marc Rudnicki'],"['Manon Dillys', 'Hélène Le Gall']"
Life Inside Out,2013,"[""Jill D'Agnenica""]","['Maggie Baird', 'Lori Nasso']"
The Lifeguard,2013,['Liz W. Garcia'],['Liz W. Garcia']
Locke,2013,['Steven Knight'],['Steven Knight']
The Lone Ranger,2013,['Gore Verbinski'],"['Justin Haythe', 'Ted Elliott']"
Lone Survivor,2013,['Peter Berg'],"['Peter Berg', 'Marcus Luttrell']"
The Look of Love,2013,['Michael Winterbottom'],"['Matt Greenhalgh', 'Paul Willetts']"
Lost Angel,2013,['Derek Efrain Villanueva'],"['Derek Efrain Villanueva', 'Derek Efrain Villanueva']"
Lost in Living,2013,['Mary Trunk'],"['Merrill Joan Gerber', 'M. Caren McCaleb', 'Kristina Robbins']"
Love & Air Sex,2013,['Bryan Poyser'],"['Bryan Poyser', 'David DeGrow Shotwell']"
The Love Punch,2013,['Joel Hopkins'],"['Joel Hopkins', 'Tess Morris']"
Lovelace,2013,"['Rob Epstein', 'Jeffrey Friedman']",['Andy Bellin']
The Lunchbox,2013,['Ritesh Batra'],"['Ritesh Batra', 'Vasan Bala']"
Machete Kills,2013,['Robert Rodriguez'],"['Kyle Ward', 'Robert Rodriguez']"
The Machine,2013,['Caradog W. James'],['Caradog W. James']
Gekijouban Mahou shojo Madoka magika Shinpen: Hangyaku no monogatari,2013,"['Yukihiro Miyamoto', 'Akiyuki Shinbo']",['Gen Urobuchi']
Maidentrip,2013,['Jillian Schlesinger'],['Laura Dekker']
Mama,2013,['Andy Muschietti'],"['Andy Muschietti', 'Barbara Muschietti']"
Man of Steel,2013,['Zack Snyder'],"['David S. Goyer', 'David S. Goyer']"
Man of Tai Chi,2013,['Keanu Reeves'],['Michael G. Cooney']
Mandela: Long Walk to Freedom,2013,['Justin Chadwick'],"['William Nicholson', 'Nelson Mandela']"
Maron     ,None,['Marc Maron'],"['Marc Maron', 'Dave Anthony', 'Andy Kindler']"
Mary and Martha,2013,['Phillip Noyce'],['Richard Curtis']
Meine Schwestern,2013,['Lars Kraume'],"['Esther Bernstorff', 'Lars Kraume']"
Age of Uprising: The Legend of Michael Kohlhaas,2013,['Arnaud des Pallières'],"['Christelle Berthevas', 'Arnaud des Pallières']"
Möbius,2013,['Eric Rochant'],['Eric Rochant']
Monster Pies,2013,['Lee Galea'],['Lee Galea']
Monsters University,2013,['Dan Scanlon'],"['Dan Scanlon', 'Daniel Gerson']"
The Mortal Instruments: City of Bones,2013,['Harald Zwart'],"['Jessica Postigo', 'Cassandra Clare']"
Moving Mountains,2014,['Jeanie M. Clark'],['Penny Loeb']
Mt. Zion,2013,['Te Arepa Kahi'],['Te Arepa Kahi']
